Month,Day,Period,DPV_NV
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,0.0
1,1,8,0.0
1,1,9,0.0
1,1,10,0.0
1,1,11,0.0
1,1,12,0.0
1,1,13,0.0
1,1,14,0.0
1,1,15,0.02581
1,1,16,0.16731
1,1,17,0.31168
1,1,18,0.44006
1,1,19,0.53982
1,1,20,0.62096
1,1,21,0.68395
1,1,22,0.73179
1,1,23,0.76132
1,1,24,0.77031
1,1,25,0.76734
1,1,26,0.7525
1,1,27,0.71828
1,1,28,0.66448
1,1,29,0.59906
1,1,30,0.51525
1,1,31,0.41829
1,1,32,0.295
1,1,33,0.15742
1,1,34,0.02147
1,1,35,0.0
1,1,36,0.0
1,1,37,0.0
1,1,38,0.0
1,1,39,0.0
1,1,40,0.0
1,1,41,0.0
1,1,42,0.0
1,1,43,0.0
1,1,44,0.0
1,1,45,0.0
1,1,46,0.0
1,1,47,0.0
1,1,48,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,0.0
1,2,8,0.0
1,2,9,0.0
1,2,10,0.0
1,2,11,0.0
1,2,12,0.0
1,2,13,0.0
1,2,14,0.0
1,2,15,0.00442
1,2,16,0.03323
1,2,17,0.11465
1,2,18,0.34106
1,2,19,0.41541
1,2,20,0.57541
1,2,21,0.63221
1,2,22,0.66774
1,2,23,0.69728
1,2,24,0.7121
1,2,25,0.71019
1,2,26,0.69637
1,2,27,0.66236
1,2,28,0.63035
1,2,29,0.51716
1,2,30,0.48651
1,2,31,0.36261
1,2,32,0.17421
1,2,33,0.142
1,2,34,0.01721
1,2,35,0.0
1,2,36,0.0
1,2,37,0.0
1,2,38,0.0
1,2,39,0.0
1,2,40,0.0
1,2,41,0.0
1,2,42,0.0
1,2,43,0.0
1,2,44,0.0
1,2,45,0.0
1,2,46,0.0
1,2,47,0.0
1,2,48,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.0
1,3,10,0.0
1,3,11,0.0
1,3,12,0.0
1,3,13,0.0
1,3,14,0.0
1,3,15,0.01337
1,3,16,0.09734
1,3,17,0.26383
1,3,18,0.4002
1,3,19,0.49435
1,3,20,0.56762
1,3,21,0.62669
1,3,22,0.66908
1,3,23,0.6893
1,3,24,0.63439
1,3,25,0.58684
1,3,26,0.56206
1,3,27,0.55043
1,3,28,0.56326
1,3,29,0.53635
1,3,30,0.47828
1,3,31,0.3929
1,3,32,0.2779
1,3,33,0.1404
1,3,34,0.01565
1,3,35,0.0
1,3,36,0.0
1,3,37,0.0
1,3,38,0.0
1,3,39,0.0
1,3,40,0.0
1,3,41,0.0
1,3,42,0.0
1,3,43,0.0
1,3,44,0.0
1,3,45,0.0
1,3,46,0.0
1,3,47,0.0
1,3,48,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,0.0
1,4,8,0.0
1,4,9,0.0
1,4,10,0.0
1,4,11,0.0
1,4,12,0.0
1,4,13,0.0
1,4,14,0.0
