Month,Day,Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,1,1,4386.5,4329.5,4494.5,4239.5,4163.5,4523.5,4658.5,4643.5,4474.5,4886.5,5209.5,4774.5,4962.5,5403.5,4686.5,5044.5,4569.5,5003.5,5009.5,4445.5,4453.5,4857.5,4706.5,4181.5,4378.5
1,1,2,4160.9,4160.9,4277.9,4046.9,4003.9,4356.9,4490.9,4415.9,4256.9,4703.9,5006.9,4521.9,4755.9,5151.9,4509.9,4868.9,4386.9,4799.9,4831.9,4214.9,4249.9,4686.9,4495.9,3966.9,4179.9
1,1,3,4070.3,4078.3,4184.3,3963.3,3881.3,4311.3,4444.3,4183.3,4147.3,4610.3,4915.3,4434.3,4758.3,5004.3,4426.3,4783.3,4288.3,4710.3,4733.3,4161.3,4193.3,4626.3,4434.3,3905.3,4075.3
1,1,4,4042.5,4056.5,4177.5,3941.5,3896.5,4317.5,4421.5,4294.5,4085.5,4580.5,4891.5,4407.5,4716.5,4950.5,4378.5,4747.5,4265.5,4674.5,4712.5,4105.5,4171.5,4566.5,4373.5,3918.5,4102.5
1,1,5,4089.1,4112.1,4141.1,4021.1,3934.1,4416.1,4523.1,4304.1,4095.1,4580.1,4926.1,4412.1,4650.1,4955.1,4400.1,4761.1,4259.1,4641.1,4680.1,4085.1,4164.1,4576.1,4390.1,3978.1,4088.1
1,1,6,4221.2,4288.2,4231.2,4191.2,4102.2,4595.2,4687.2,4324.2,4131.2,4622.2,4952.2,4474.2,4658.2,4979.2,4428.2,4825.2,4257.2,4705.2,4801.2,4138.2,4215.2,4645.2,4425.2,4157.2,4184.2
1,1,7,4361.1,4511.1,4325.1,4354.1,4345.1,4789.1,4834.1,4286.1,4189.1,4595.1,4940.1,4506.1,4639.1,4982.1,4401.1,4833.1,4319.1,4725.1,4853.1,4180.1,4308.1,4695.1,4506.1,4283.1,4276.1
1,1,8,4366.6,4487.6,4302.6,4370.6,4369.6,4738.6,4787.6,4281.6,4103.6,4461.7,4831.6,4350.6,4498.6,4827.6,4290.6,4704.6,4217.6,4610.6,4682.6,4086.6,4180.6,4601.6,4455.6,4240.6,4188.6
1,1,9,4284.1,4289.1,4210.1,4261.1,4249.1,4533.1,4573.1,4312.1,4038.1,4285.1,4605.1,4162.1,4301.1,4701.1,4131.1,4558.1,4030.1,4454.1,4438.1,3943.2,4052.1,4392.1,4317.1,4142.1,4150.1
1,1,10,4390.2,4317.2,4235.2,4288.3,4295.2,4516.2,4536.2,4460.2,4156.2,4333.2,4617.2,4229.2,4371.2,4725.2,4179.2,4550.2,4081.2,4479.2,4441.2,3947.2,4038.2,4409.2,4232.2,4116.2,4189.2
