Month,Day,Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,1,1,2611,2577.6,2674.4,2524.8,2480.1,2691.5,2770.7,2761.9,2662.7,2904.5,3094.1,2838.8,2949.2,3208,2787.1,2997.3,2718.5,2973.2,2976.7,2645.7,2650.4,2887.5,2798.9,2490.7,2606.3
1,1,2,2468.1,2468.1,2536.8,2401.2,2375.9,2583.1,2661.8,2617.8,2524.4,2786.8,2964.7,2680,2817.3,3049.8,2672.9,2883.7,2600.7,2843.2,2862,2499.8,2520.3,2776.8,2664.7,2354.2,2479.2
1,1,3,2412,2416.7,2478.9,2349.2,2301.1,2553.5,2631.6,2478.4,2457.2,2729,2908,2625.7,2815.9,2960.3,2621,2830.6,2540,2787.7,2801.2,2465.4,2484.2,2738.4,2625.7,2315.2,2415
1,1,4,2394.4,2402.6,2473.6,2335.1,2308.7,2555.8,2616.9,2542.3,2419.6,2710.2,2892.8,2608.6,2790,2927.4,2591.6,2808.2,2525.3,2765.4,2787.7,2431.4,2470.1,2702,2588.7,2321.6,2429.6
1,1,5,2421.6,2435.1,2452.1,2381.6,2330.6,2613.5,2676.3,2547.8,2425.1,2709.8,2912.9,2611.2,2750.9,2929.9,2604.1,2816,2521.3,2745.6,2768.5,2419.2,2465.6,2707.4,2598.2,2356.4,2421
1,1,6,2499.4,2538.7,2505.2,2481.8,2429.5,2718.9,2772.9,2559.8,2446.5,2734.8,2928.5,2647.9,2755.9,2944.3,2620.9,2853.9,2520.5,2783.5,2839.8,2450.7,2495.9,2748.3,2619.1,2461.8,2477.7
1,1,7,2583.8,2671.9,2562.7,2579.7,2574.4,2835,2861.5,2539.8,2482.8,2721.2,2923.7,2668.9,2747,2948.3,2607.3,2860.9,2559.2,2797.5,2872.6,2477.6,2552.7,2779.9,2668.9,2538,2533.9
1,1,8,2590,2661,2552.4,2592.3,2591.7,2808.3,2837.1,2540.1,2435.6,2645.8,2862.9,2580.6,2667.5,2860.6,2545.4,2788.4,2502.5,2733.2,2775.5,2425.6,2480.8,2727.9,2642.2,2516,2485.5
1,1,9,2531.4,2534.4,2488,2517.9,2510.9,2677.6,2701.1,2547.9,2387,2532,2719.8,2459.8,2541.4,2776.2,2441.6,2692.3,2382.3,2631.2,2621.8,2331.3,2395.2,2594.8,2550.8,2448.1,2452.8
1,1,10,2597.5,2554.7,2506.5,2537.7,2541.8,2671.5,2683.2,2638.6,2460.2,2564.1,2730.8,2503,2586.4,2794.2,2473.7,2691.4,2416.1,2649.8,2627.5,2337.5,2390.9,2608.7,2504.8,2436.7,2479.5
1,1,11,2623,2574.9,2485.1,2572,2535.6,2658.3,2710.5,2687,2492.1,2578.4,2731.6,2544.4,2601.9,2793.9,2486.9,2695.2,2416.4,2614.2,2616.6,2339.5,2405.8,2596.6,2525,2466.9,2495.1
1,1,12,2607.2,2470.4,2445.2,2557.9,2519.1,2668.2,2655.9,2680.6,2479.8,2562,2709.9,2509.2,2560.2,2738.7,2466.9,2667.7,2412.3,2587.2,2582,2327.2,2382.4,2563.8,2518,2413.5,2451.6
1,1,13,2633.3,2536.5,2458.4,2582.9,2612.8,2618.1,2661.5,2705.5,2523.6,2582.3,2705,2515.4,2591.1,2740.2,2494.2,2666.8,2441.4,2603.4,2575.8,2350.4,2412,2578.2,2510.1,2446.7,2468.4
1,1,14,2595,2494,2398.9,2548.6,2579.1,2604.3,2595.5,2644.8,2486.9,2511.6,2651.3,2457.6,2529.8,2663.6,2442.9,2593.2,2396,2545.1,2518.6,2320.8,2361.9,2523.9,2434.1,2396,2437.6
1,1,15,2601,2504.7,2411.4,2548.1,2591.6,2580.4,2583.3,2657.9,2508.2,2510,2635,2453.6,2525.8,2659.7,2445.4,2583.3,2400.2,2555.8,2491.2,2348,2393.7,2563.4,2451.3,2410.2,2451.3
1,1,16,2625.7,2549.4,2453.7,2558.2,2628.7,2579.9,2571.1,2692.6,2547.1,2527.7,2655.7,2473.1,2555.9,2721.4,2467.2,2609.9,2416.7,2565.3,2550.6,2404.4,2441.4,2608.7,2533.6,2439.6,2503
1,1,17,2820,2668,2547.6,2637.4,2757.2,2637.4,2613.4,2777.1,2713.2,2689.7,2834.7,2567.6,2726.1,2951.5,2608.1,2798.3,2561.1,2751.3,2730.2,2560,2591.7,2823.5,2722,2486,2702.6
1,1,18,3027.7,2876.9,2818.8,2893.3,2979.6,2919.2,2891,3016.6,2893.9,2982.5,3172.7,2838.7,3017.8,3244.9,2883.3,3084.7,2797.1,3061.2,3009,2791.2,2819.4,3071.8,2921.5,2707.8,2895.1
1,1,19,3001.5,2869.5,2817.2,2901.2,2925.8,3011.5,3010.3,3056.1,2880.6,2990.4,3184.7,2814.3,3015,3260.4,2870.1,3116.6,2797.9,3086.1,3043.8,2805.5,2806.7,3107.2,2932.3,2809.6,2855.4
1,1,20,2942.9,2774.4,2761.5,2836.6,2851.3,2961.7,2984.6,2992.2,2820.2,2930,3136,2747.4,2964,3228.8,2823.1,3082.6,2740.4,3077.9,3033.3,2724.5,2749.8,3079.7,2867.7,2785,2821.4
1,1,21,2884.7,2696.3,2696.3,2742.1,2756.8,2902.4,2936.4,2907.6,2743.3,2857.2,3067.3,2700.4,2900.6,3182.9,2768.5,3026.8,2675.8,3041.5,2955.8,2680.5,2676.4,3028,2827.8,2717.4,2749.7
1,1,22,2775.3,2599.2,2621,2636.8,2652.1,2794.1,2842.3,2826.4,2662.6,2778.9,2955.5,2643.3,2843.4,3117,2719.6,2976.1,2605.1,3003.7,2886.3,2618.6,2622.1,2985.5,2719,2645,2669.7
1,1,23,2758.8,2634.9,2667.2,2632.6,2632,2783.4,2876.8,2863.9,2664.3,2796.9,3027,2780.5,2895.6,3167.3,2769.3,3026.5,2644.9,3038.2,2892,2649.6,2637.3,3004.7,2732.4,2649,2684.2
1,1,24,2601.7,2539.4,2559.4,2503,2509.5,2644.5,2748.4,2750.2,2550.6,2670.3,2912.8,2695.6,2793,3053.1,2672.7,2925.7,2552.4,2918.1,2804.8,2561.7,2528.9,2894,2637.5,2555.3,2584.1
1,2,1,2517.3,2503.2,2555.5,2401.1,2656.4,2454.5,2591.9,2826.7,2451.6,2591.9,2835.5,2605.9,2724.5,2961.7,2593,2851.9,2485,2833.1,2700.4,2487.4,2467.4,2810.2,2573.7,2593.6,2752.7
1,2,2,2485.3,2464.2,2493.6,2355.6,2611,2420.8,2565.8,2769.4,2399.1,2545.8,2794.1,2559.3,2669.7,2865.7,2554,2814.1,2443.1,2800,2636.2,2424.9,2404.9,2771.2,2514.1,2551.1,2715.4
1,2,3,2464.9,2405,2450.8,2323.4,2574.1,2379.8,2576.4,2727.9,2368.6,2520.7,2782.5,2536.5,2647.4,2812.4,2528.9,2783.6,2421.5,2781.9,2618.1,2386.8,2376.8,2746.7,2508.3,2551.8,2693.8
1,2,4,2468.5,2402.7,2422.7,2332.9,2577.1,2389.8,2592.3,2708,2356.4,2535.4,2782.5,2528.9,2646.3,2784.3,2520.1,2784.9,2425,2773.7,2561.8,2368.1,2379.8,2762.6,2508.4,2538.3,2713.9
1,2,5,2531.7,2426.6,2433.1,2384.9,2631.5,2427.2,2676.7,2727.7,2383.2,2590.4,2833.4,2576.9,2674.9,2800.5,2560.5,2845.1,2473,2810.5,2602.7,2406.1,2433.7,2803.5,2558.1,2586.3,2757.7
