Month,Day,Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,1,1,1775.5,1751.9,1820.1,1714.7,1683.4,1832,1887.8,1881.6,1811.8,1982,2115.4,1935.7,2013.3,2195.5,1899.4,2047.2,1851,2030.3,2032.8,1799.8,1803.1,1970,1907.6,1690.8,1772.2
1,1,2,1692.8,1692.8,1741.1,1645.7,1628,1773.8,1829.1,1798.1,1732.5,1917.1,2042.2,1841.9,1938.6,2102.1,1837,1985.2,1786.2,1956.7,1969.9,1715.1,1729.6,1910.1,1831.2,1612.7,1700.7
1,1,3,1658.3,1661.6,1705.4,1614.1,1580.2,1757.8,1812.7,1704.9,1690.1,1881.3,2007.3,1808.6,1942.4,2044,1805.3,1952.7,1748.3,1922.6,1932.1,1695.9,1709.1,1887.9,1808.6,1590.1,1660.3
1,1,4,1648.1,1653.9,1703.9,1606.4,1587.8,1761.7,1804.6,1752.2,1665.9,1870.3,1998.7,1798.9,1926.5,2023.1,1786.9,1939.3,1740.2,1909.1,1924.8,1674.1,1701.4,1864.5,1784.8,1596.9,1672.9
1,1,5,1667.5,1677,1689,1639.5,1603.5,1802.6,1846.8,1756.3,1670,1870.3,2013.2,1800.9,1899.2,2025.2,1796,1945.1,1737.8,1895.5,1911.6,1665.9,1698.5,1868.7,1791.9,1621.7,1667.1
1,1,6,1721.8,1749.5,1726,1709.4,1672.7,1876.3,1914.3,1764.4,1684.7,1887.4,2023.7,1826.3,1902.3,2034.9,1807.3,1971.3,1736.7,1921.7,1961.4,1687.5,1719.3,1896.9,1806.1,1695.4,1706.5
1,1,7,1777.3,1839.2,1762.4,1774.4,1770.7,1954.1,1972.6,1746.3,1706.3,1873.9,2016.4,1837.2,1892.1,2033.8,1793.8,1972.2,1759.9,1927.6,1980.5,1702.5,1755.4,1915.2,1837.2,1745.1,1742.2
1,1,8,1776.6,1826.6,1750.2,1778.3,1777.9,1930.3,1950.5,1741.5,1668,1815.9,1968.7,1770,1831.1,1967,1745.2,1916.2,1715.1,1877.4,1907.1,1661,1699.8,1873.7,1813.4,1724.6,1703.1
1,1,9,1752.7,1754.7,1722.1,1743.2,1738.2,1855.5,1872,1764.2,1651.1,1753.1,1885.3,1702.3,1759.7,1924.9,1689.5,1865.8,1647.8,1822.9,1816.3,1611.9,1656.9,1797.3,1766.3,1694,1697.3
1,1,10,1792.7,1762.5,1728.7,1750.6,1753.4,1844.7,1853,1821.6,1696,1769.1,1886.4,1726.2,1784.8,1931,1705.5,1858.8,1665.1,1829.4,1813.7,1609.7,1647.3,1800.5,1727.4,1679.5,1709.7
1,1,11,1808.9,1775,1711.8,1772.9,1747.3,1833.6,1870.4,1853.9,1716.8,1777.5,1885.3,1753.5,1794,1929,1713.1,1859.7,1663.5,1802.7,1804.3,1609.4,1656.1,1790.3,1739.9,1699,1718.8
