Item,Category,MTTR,outage_transition_probability,EFOR,incr EFOR,Maintenance_Frequency,Mean_Time_to_Repair,Forced_Outage_Rate,Min_Time_to_Repair,Repair_Time_Scale
Chuck Lenzi 1_A,NG CC,89,0.000229305,0.02,1.866894977,2.21,74,2,15,74
Chuck Lenzi 1_B,NG CC,89,0.000229305,0.02,1.866894977,2.21,74,2,15,74
Chuck Lenzi 2_A,NG CC,89,0.000182698,0.016,1.866894977,2.21,74,1.6,15,74
Chuck Lenzi 2_B,NG CC,89,0.000182698,0.016,1.866894977,2.21,74,1.6,15,74
"Clark 5, 6, 10_A",NG CC,89,0.001193199,0.096,1.866894977,2.21,74,9.6,15,74
"Clark 5, 6, 10_B",NG CC,89,0.001193199,0.096,1.866894977,2.21,74,9.6,15,74
"Clark 7, 8, 9_A",NG CC,89,0.001290193,0.103,1.866894977,2.21,74,10.3,15,74
"Clark 7, 8, 9_B",NG CC,89,0.001290193,0.103,1.866894977,2.21,74,10.3,15,74
Harry Allen CC_A,NG CC,89,0.000264511,0.023,1.866894977,2.21,74,2.3,15,74
Harry Allen CC_B,NG CC,89,0.000264511,0.023,1.866894977,2.21,74,2.3,15,74
LV Gen 1,NG CC,89,0.001124832,0.091,1.866894977,2.21,74,9.1,15,74
LV Gen 2_A,NG CC,89,0.001003647,0.082,1.866894977,2.21,74,8.2,15,74
LV Gen 2_B,NG CC,89,0.001003647,0.082,1.866894977,2.21,74,8.2,15,74
LV Gen 3_A,NG CC,89,0.000742675,0.062,1.866894977,2.21,74,6.2,15,74
LV Gen 3_B,NG CC,89,0.000742675,0.062,1.866894977,2.21,74,6.2,15,74
Silverhawk CC_A,NG CC,89,0.000217618,0.019,1.866894977,2.21,74,1.9,15,74
Silverhawk CC_B,NG CC,89,0.000217618,0.019,1.866894977,2.21,74,1.9,15,74
Tracy 4&5 CC,NG CC,89,0.000963779,0.079,1.866894977,2.21,74,7.9,15,74
"Tracy 8, 9, 10_A",NG CC,89,0.000159537,0.014,1.866894977,2.21,74,1.4,15,74
"Tracy 8, 9, 10_B",NG CC,89,0.000159537,0.014,1.866894977,2.21,74,1.4,15,74
Walt Higgings CC_A,NG CC,89,0.00066654,0.056,1.866894977,2.21,74,5.6,15,74
Walt Higgings CC_B,NG CC,89,0.00066654,0.056,1.866894977,2.21,74,5.6,15,74
Clark 11,NG CT,77,0.001007613,0.072,2.469178082,3.09,70,7.2,7,70
Clark 12,NG CT,77,0.001007613,0.072,2.469178082,3.09,70,7.2,7,70
Clark 13,NG CT,77,0.001007613,0.072,2.469178082,3.09,70,7.2,7,70
Clark 14,NG CT,77,0.001007613,0.072,2.469178082,3.09,70,7.2,7,70
Clark 15,NG CT,77,0.001007613,0.072,2.469178082,3.09,70,7.2,7,70
Clark 16,NG CT,77,0.001007613,0.072,2.469178082,3.09,70,7.2,7,70
Clark 17,NG CT,77,0.001007613,0.072,2.469178082,3.09,70,7.2,7,70
Clark 18,NG CT,77,0.001007613,0.072,2.469178082,3.09,70,7.2,7,70
Clark 19,NG CT,77,0.001007613,0.072,2.469178082,3.09,70,7.2,7,70
Clark 20,NG CT,77,0.001007613,0.072,2.469178082,3.09,70,7.2,7,70
Clark 21,NG CT,77,0.001007613,0.072,2.469178082,3.09,70,7.2,7,70
Clark 22,NG CT,77,0.001007613,0.072,2.469178082,3.09,70,7.2,7,70
Clark 4,NG CT,77,0.002167028,0.143,2.469178082,3.09,70,14.3,7,70
Clark Mt. 3,NG CT,77,0.002184731,0.144,2.469178082,3.09,70,14.4,7,70
Clark Mt. 4,NG CT,77,0.000873193,0.063,2.469178082,3.09,70,6.3,7,70
Harry Allen 3,NG CT,77,0.003431461,0.209,2.469178082,3.09,70,20.9,7,70
