Month,Day,Period,ACE Searchlight Solar,Arrow Canyon Solar,Battle Mountain Solar,Boulder Solar I,Boulder Solar II,Boulder Solar III,Copper Mountain Solar 5,Crescent Dunes Solar Thermal,Dodge Flat Solar,Dry Lake Solar,Eagle Shadow Mountain Solar Farm,FRV Spectrum Solar,Fish Springs Ranch Solar,Ft. Churchill Solar,Gemini Solar,Mountain View Solar,NV Generic Solar,NV Generic Solar Hybrid,Nellis Solar Array II,Nevada Solar One,RV Apex Solar,Silver State Solar,Stillwater 2 Solar,Switch Station 1 (Playa Solar 1),Switch Station 2 (Playa Solar 2),Techren Solar 2,Techren Solar I,Techren Solar III,Techren Solar IV,Techren Solar V,Turquoise Nevada
1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,0.08645,0.19455,0.01099,0.06712,0.1045,0.104,0.09958,0.01584,0.0,0.09689,0.15695,0.08917,0.0,0.00732,0.09624,0.19375,0.10472,0.10478,0.1784,0.04678,0.1674,0.09314,0.00764,0.09256,0.10152,0.1054,0.1056,0.10481,0.12786,0.1276,0.00442
1,1,9,0.06902,0.64298,0.27662,0.446,0.24075,0.53199,0.49733,0.34781,0.28958,0.19708,0.4721,0.6175,0.0416,0.19041,0.64563,0.6275,0.48289,0.48302,0.2728,0.60296,0.55862,0.48918,0.15055,0.18829,0.20646,0.24274,0.54015,0.53608,0.15249,0.15275,0.14365
1,1,10,0.55215,0.69095,0.42229,0.63637,0.61125,0.7017,0.57579,0.51264,0.66476,0.69056,0.67704,0.83833,0.4277,0.351,0.42987,0.67312,0.6252,0.6253,0.6424,0.64887,0.78182,0.70668,0.24928,0.66313,0.72693,0.61601,0.71254,0.70691,0.70901,0.70899,0.37043
1,1,11,0.97114,0.63018,0.34293,0.85025,0.61975,0.64442,0.65731,0.99053,0.43544,0.62894,0.79017,0.95208,0.53989,0.75116,0.62995,0.615,0.65581,0.65585,0.588,0.59617,0.91388,0.82422,0.79201,0.60475,0.66281,0.62471,0.65433,0.64927,0.64979,0.65004,0.59314
1,1,12,0.99972,0.58669,0.33109,1.0,0.57975,0.60207,0.6165,1.00004,0.53892,0.58561,0.83158,0.995,0.44499,0.81341,0.58707,0.57312,0.61823,0.6182,0.5496,0.55809,0.97712,0.86903,0.56456,0.56377,0.61788,0.58445,0.6113,0.60682,0.60787,0.60812,0.50286
1,1,13,0.98996,0.60164,0.31406,1.0,0.591,0.61456,0.62859,1.00004,0.53502,0.60121,0.80217,0.96667,0.4407,0.80766,0.60173,0.58625,0.63308,0.63303,0.5608,0.56904,0.97588,0.84815,0.85311,0.57911,0.63473,0.59579,0.62397,0.6194,0.62045,0.62043,0.70041
1,1,14,0.89584,0.65299,0.58597,0.91613,0.63425,0.65894,0.67389,1.00004,0.6058,0.64792,0.71092,0.87208,0.53872,0.76058,0.649,0.63438,0.69381,0.69372,0.6024,0.61009,0.90892,0.76087,0.45928,0.62468,0.6846,0.63932,0.66911,0.66394,0.66447,0.66445,0.64703
1,1,15,0.72992,0.6593,0.60095,0.744,0.646,0.67174,0.68799,0.95972,0.65117,0.65893,0.54855,0.70375,0.44031,0.63608,0.65985,0.64375,0.70739,0.70728,0.6136,0.62243,0.7564,0.59852,0.64365,0.63544,0.69651,0.65123,0.68218,0.67704,0.67704,0.67702,0.47838
1,1,16,0.40644,0.37525,0.31201,0.4135,0.386,0.4026,0.41321,0.81639,0.42218,0.37718,0.29253,0.36125,0.45695,0.36303,0.37459,0.37625,0.4252,0.42523,0.3608,0.37287,0.37138,0.35451,0.38673,0.3625,0.3973,0.38896,0.40881,0.4056,0.40298,0.40297,0.33864
1,1,17,0.0,0.0,0.0,0.01388,0.0,0.0,0.0,0.24432,0.0234,0.0,0.0,0.0,0.03601,0.02668,0.0,0.0,0.00545,0.00545,0.0,0.0,0.0,0.01361,0.02018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272
