pras_ts,psy_no_scaling,psy_scaling
537,0.00595,5.6644000000000005
439,0.01009,9.60568
368,0.01685,16.0412
405,0.0104,9.9008
334,0.01216,11.57632
248,0.00867,8.25384
286,0.00369,3.51288
227,0.00343,3.26536
114,0.0,0.0
76,0.0,0.0
36,0.0,0.0
27,0.0,0.0
54,0.0,0.0
60,0.00066,0.62832
64,0.00202,1.92304
60,0.00636,6.0547200000000005
45,0.01316,12.528319999999999
23,0.00659,6.273680000000001
30,0.00073,0.6949599999999999
44,0.00187,1.7802399999999998
44,0.002,1.9040000000000001
67,0.00262,2.49424
120,0.00162,1.5422399999999998
142,0.006,5.712
132,0.00997,9.491439999999999
111,0.01339,12.74728
125,0.01835,17.4692
161,0.02266,21.57232
147,0.04449,42.35448
114,0.06597,62.80344
137,0.07201,68.55352
134,0.09454,90.00207999999999
121,0.08118,77.28336
51,0.02671,25.42792
8,0.01206,11.481119999999999
2,0.00546,5.19792
1,0.00104,0.99008
2,0.00872,8.30144
30,0.03566,33.948319999999995
74,0.11071,105.39592
82,0.14026,133.52752
95,0.15235,145.0372
140,0.17366,165.32432
155,0.18827,179.23304
194,0.21443,204.13736
236,0.29256,278.51712
286,0.28154,268.02608000000004
305,0.34063,324.27976
335,0.25787,245.49223999999998
415,0.21442,204.12784
396,0.21668,206.27936
541,0.32055,305.1636
556,0.34299,326.52648
695,0.40365,384.2748
748,0.3942,375.2784
782,0.42375,403.41
783,0.36963,351.88776
698,0.4437,422.4024
706,0.51414,489.46128000000004
785,0.48208,458.94016
785,0.50942,484.96783999999997
794,0.66524,633.30848
788,0.6706,638.4112
773,0.70569,671.8168800000001
546,0.72208,687.42016
204,0.79912,760.76224
132,0.81098,772.05296
139,0.79177,753.76504
62,0.82423,784.66696
112,0.8345,794.4440000000001
141,0.8345,794.4440000000001
14,0.82814,788.38928
11,0.81939,780.05928
64,0.83108,791.18816
116,0.8345,794.4440000000001
95,0.83441,794.3583199999999
81,0.83139,791.4832799999999
89,0.81301,773.9855200000001
62,0.81994,780.58288
58,0.79192,753.90784
58,0.75149,715.41848
75,0.75423,718.0269599999999
107,0.68856,655.5091199999999
250,0.69427,660.9450400000001
180,0.73545,700.1484
237,0.74851,712.58152
151,0.6906,657.4512
305,0.62478,594.79056
202,0.62111,591.29672
311,0.57837,550.60824
423,0.49997,475.97144000000003
439,0.51709,492.26968000000005
341,0.51013,485.64376
303,0.5083,483.9016
260,0.28992,276.00384
287,0.10188,96.98976
595,0.11474,109.23248
496,0.22165,211.01080000000002
277,0.08506,80.97712
249,0.05931,56.46312
349,0.19054,181.39407999999997
399,0.17309,164.78168
385,0.05328,50.72256
186,0.16037,152.67224000000002
142,0.36457,347.07064
185,0.18297,174.18743999999998
147,0.06873,65.43096
125,0.06263,59.623760000000004
112,0.09804,93.33408
47,0.13421,127.76791999999999
19,0.14982,142.62864000000002
4,0.18926,180.17552
1,0.25491,242.67432000000002
7,0.4212,400.98240000000004
16,0.567,539.784
9,0.56498,537.8609600000001
6,0.59871,569.97192
1,0.60044,571.61888
8,0.64567,614.67784
10,0.69035,657.2132
41,0.67774,645.20848
48,0.61882,589.1166400000001
106,0.72195,687.2964
135,0.78596,748.23392
109,0.80901,770.17752
96,0.80171,763.22792
70,0.71007,675.98664
54,0.76008,723.5961599999999
62,0.75372,717.54144
26,0.79216,754.13632
20,0.74188,706.26976
28,0.82479,785.2000800000001
39,0.8345,794.4440000000001
50,0.8345,794.4440000000001
67,0.83306,793.07312
124,0.73699,701.6144800000001
133,0.8059,767.2167999999999
145,0.74527,709.49704
197,0.66263,630.82376
258,0.35187,334.98024000000004
341,0.29521,281.03992
328,0.3292,313.3984
302,0.31461,299.50872
279,0.20452,194.70304000000002
251,0.17362,165.28624
286,0.0579,55.1208
258,0.18765,178.64280000000002
206,0.19908,189.52416
170,0.20006,190.45711999999997
144,0.33758,321.37615999999997
124,0.32032,304.94464
89,0.42111,400.89671999999996
71,0.59689,568.23928
7,0.50734,482.98768
0,0.55405,527.4556
57,0.64239,611.55528
52,0.64515,614.1828
91,0.62564,595.60928
88,0.62474,594.75248
29,0.77923,741.82696
53,0.79434,756.21168
75,0.76478,728.07056
83,0.78936,751.4707199999999
74,0.79276,754.70752
55,0.80844,769.6348800000001
50,0.80872,769.90144
53,0.74681,710.96312
75,0.70697,673.03544
87,0.72447,689.69544
134,0.76704,730.22208
140,0.80521,766.55992
97,0.81038,771.48176
91,0.79827,759.95304
70,0.79338,755.2977599999999
60,0.81721,777.98392
47,0.82807,788.32264
15,0.82901,789.21752
18,0.8138,774.7375999999999
71,0.68922,656.1374400000001
128,0.62733,597.21816
211,0.5743,546.7336
194,0.48495,461.6724
196,0.49204,468.42208
237,0.56165,534.6908
323,0.5362,510.4624
324,0.526,500.752
315,0.43063,409.95976
315,0.25133,239.26615999999999
516,0.24559,233.80168
587,0.33898,322.70896
589,0.42824,407.68448
504,0.51157,487.01464
506,0.52794,502.59887999999995
623,0.47525,452.438
714,0.50778,483.40656
669,0.46285,440.6332
712,0.56489,537.77528
686,0.5944,565.8688000000001
742,0.67134,639.11568
748,0.72923,694.2269600000001
794,0.62348,593.55296
792,0.52397,498.81944000000004
772,0.3374,321.2048
793,0.23359,222.37768
793,0.18234,173.58768
794,0.16361,155.75672
794,0.16862,160.52624
764,0.2033,193.54160000000002
596,0.35245,335.5324
610,0.54174,515.73648
543,0.51472,490.01343999999995
514,0.60884,579.61568
644,0.60926,580.01552
719,0.5281,502.75120000000004
725,0.75733,720.97816
748,0.64874,617.60048
682,0.71311,678.88072
685,0.62976,599.53152
677,0.74099,705.4224800000001
787,0.80309,764.5416799999999
783,0.79424,756.1164799999999
781,0.80837,769.5682400000001
787,0.80955,770.6916
784,0.81751,778.2695199999999
789,0.77848,741.1129599999999
794,0.66638,634.3937599999999
794,0.67376,641.41952
794,0.80979,770.92008
793,0.80795,769.1683999999999
794,0.80506,766.41712
792,0.73233,697.17816
793,0.66253,630.7285599999999
793,0.60282,573.88464
792,0.51256,487.95712000000003
781,0.4911,467.5272
785,0.37294,355.03888
779,0.23564,224.32927999999998
719,0.28827,274.43304
617,0.23698,225.60496
694,0.21395,203.6804
720,0.28499,271.31048000000004
706,0.42929,408.68408
722,0.35085,334.0092
703,0.35534,338.28368
693,0.47286,450.16272
673,0.62636,596.29472
792,0.44309,421.82167999999996
641,0.22385,213.1052
743,0.28904,275.16608
766,0.21097,200.84344
792,0.17347,165.14344
782,0.13055,124.28359999999999
733,0.08337,79.36824
794,0.1191,113.3832
732,0.1197,113.9544
794,0.13118,124.88336
794,0.25554,243.27408
794,0.45157,429.89464000000004
794,0.65579,624.31208
791,0.5098,485.3296
767,0.41109,391.35768
751,0.3511,334.2472
794,0.36486,347.34672
768,0.23703,225.65256
794,0.26305,250.4236
794,0.18947,180.37544
785,0.15437,146.96024
793,0.14836,141.23872
794,0.14836,141.23872
792,0.14836,141.23872
794,0.14836,141.23872
794,0.14836,141.23872
794,0.14836,141.23872
794,0.14836,141.23872
702,0.14605,139.0396
594,0.16578,157.82256
594,0.13735,130.7572
518,0.12136,115.53472
738,0.09544,90.85888
730,0.10157,96.69463999999999
695,0.22657,215.69464
714,0.13127,124.96903999999999
717,0.02029,19.31608
766,0.01011,9.62472
767,0.00422,4.01744
767,0.00213,2.02776
783,0.00738,7.02576
793,0.01771,16.85992
794,0.02728,25.97056
794,0.02613,24.87576
794,0.02324,22.124480000000002
794,0.01987,18.91624
794,0.01122,10.68144
794,0.01213,11.54776
794,0.01392,13.25184
794,0.01779,16.93608
794,0.00031,0.29512
794,0.0,0.0
794,0.0096,9.139199999999999
794,0.04488,42.72576
790,0.05384,51.25568
793,0.03058,29.11216
794,0.01303,12.40456
794,0.00143,1.3613600000000001
794,0.00065,0.6188
794,0.0,0.0
794,0.00196,1.86592
786,0.00433,4.12216
788,0.00573,5.45496
733,0.00384,3.6556800000000003
652,0.0028,2.6656
673,0.0,0.0
735,5.0e-5,0.0476
556,9.0e-5,0.08568
575,0.0,0.0
588,0.0,0.0
430,0.00164,1.56128
434,0.00429,4.08408
506,0.00562,5.35024
398,0.00322,3.06544
335,0.00087,0.82824
270,0.0,0.0
219,0.0,0.0
229,0.0,0.0
299,0.0,0.0
416,0.0,0.0
450,0.0,0.0
444,0.0,0.0
482,0.0,0.0
555,0.0,0.0
518,0.0,0.0
533,0.0,0.0
509,0.0,0.0
502,0.0,0.0
524,0.0,0.0
555,0.0,0.0
465,2.0e-5,0.01904
426,0.0,0.0
491,0.0,0.0
506,0.00024,0.22848000000000002
467,0.00151,1.4375200000000001
441,0.00372,3.54144
494,0.00328,3.12256
403,0.00422,4.01744
319,0.00136,1.29472
461,0.0,0.0
386,0.0,0.0
350,0.0,0.0
383,0.0,0.0
360,0.0,0.0
316,0.0,0.0
329,0.0,0.0
373,0.0,0.0
403,0.0,0.0
382,0.00335,3.1892
75,0.01771,16.85992
283,0.01664,15.84128
32,0.03531,33.615120000000005
29,0.04924,46.87648
78,0.04638,44.15376
107,0.03,28.56
131,0.02551,24.28552
190,0.039,37.128
226,0.05822,55.42544
193,0.06861,65.31672
180,0.06426,61.17552
75,0.07991,76.07432
10,0.10225,97.342
11,0.05314,50.58928
2,0.00845,8.0444
0,0.0148,14.0896
27,0.02436,23.19072
34,0.02942,28.00784
41,0.02462,23.43824
9,0.00944,8.986880000000001
71,7.0e-5,0.06663999999999999
74,0.0,0.0
55,0.00161,1.53272
13,0.04369,41.59288
21,0.06039,57.491279999999996
43,0.0728,69.3056
119,0.08479,80.72008000000001
62,0.07301,69.50552
24,0.0691,65.7832
63,0.0831,79.1112
66,0.06985,66.49719999999999
100,0.06001,57.12952
100,0.03132,29.81664
68,0.03135,29.845200000000002
37,0.02655,25.2756
27,0.02222,21.15344
35,0.01752,16.67904
37,0.00619,5.89288
21,0.00149,1.41848
20,0.00038,0.36176
27,0.01866,17.764319999999998
36,0.0407,38.7464
52,0.04009,38.16568
