membership_id,parent_object_id,parent_object_name,parent_class_name,child_class_name,category,object_id,name,property_name,property_unit,property_value,band,date_to,date_from,memo,scenario_category,scenario,action,data_file_tag,data_file,variable_tag,timeslice_tag,timeslice,variable_name,variable
1,1,System,System,Generator,UPV - Hybrid,2,_NVE IRP Expansion_NVP_PV (Hybrid),Units,-,1.0,1,,,,Resource Portfolios,2024 IRP Generic Resources,,2024 IRP Generic Expansion # Units,datafiles\2024 IRP Generic Expansion\2024 IRP Generic Expansion (Balanced).csv,,,,,
1,1,System,System,Generator,UPV - Hybrid,2,_NVE IRP Expansion_NVP_PV (Hybrid),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,NV Generic Solar Hybrid,,,UPV - 1998,Shapes\UPV\Y1998.csv
6,1,System,System,Generator,UPV - Standalone,7,_NVE IRP Expansion_NVP_PV (Standalone),Units,-,1.0,1,,,,Resource Portfolios,2024 IRP Generic Resources,,2024 IRP Generic Expansion # Units,datafiles\2024 IRP Generic Expansion\2024 IRP Generic Expansion (Balanced).csv,,,,,
6,1,System,System,Generator,UPV - Standalone,7,_NVE IRP Expansion_NVP_PV (Standalone),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,NV Generic Solar,,,UPV - 1998,Shapes\UPV\Y1998.csv
22,1,System,System,Generator,LBW,23,_NVE IRP Expansion_NVP_Wind,Units,-,1.0,1,,,,Resource Portfolios,2024 IRP Generic Resources,,2024 IRP Generic Expansion # Units,datafiles\2024 IRP Generic Expansion\2024 IRP Generic Expansion (Balanced).csv,,,,,
22,1,System,System,Generator,LBW,23,_NVE IRP Expansion_NVP_Wind,Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,Wind_NV-AZ,,,Wind - 2014,Shapes\Wind\Y2014.csv
26,1,System,System,Generator,UPV - Hybrid,27,_NVE IRP Expansion_SPPC_PV (Hybrid),Units,-,1.0,1,,,,Resource Portfolios,2024 IRP Generic Resources,,2024 IRP Generic Expansion # Units,datafiles\2024 IRP Generic Expansion\2024 IRP Generic Expansion (Balanced).csv,,,,,
26,1,System,System,Generator,UPV - Hybrid,27,_NVE IRP Expansion_SPPC_PV (Hybrid),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,NV Generic Solar Hybrid,,,UPV - 1998,Shapes\UPV\Y1998.csv
27,1,System,System,Generator,UPV - Standalone,28,_NVE IRP Expansion_SPPC_PV (Standalone),Units,-,1.0,1,,,,Resource Portfolios,2024 IRP Generic Resources,,2024 IRP Generic Expansion # Units,datafiles\2024 IRP Generic Expansion\2024 IRP Generic Expansion (Balanced).csv,,,,,
27,1,System,System,Generator,UPV - Standalone,28,_NVE IRP Expansion_SPPC_PV (Standalone),Rating Factor,%,100.0,1,,,,Renewable Profiles,Shapes - NREL Weather Profile,×,,,NV Generic Solar,,,UPV - 1998,Shapes\UPV\Y1998.csv
