Resource,MW_capacity
Battle Mountain Solar BESS,24.68
Dry Lake East Solar BESS,200.0
Dodge Flat Solar BESS,50.0
Reid Gardner BESS,220.0
Fish Springs Ranch Solar BESS,24.91
Arrow Canyon Solar BESS,75.0
Libra Solar BESS,700.0
Sierra Solar BESS,400.0
Gemini Solar BESS,380.0
Dry Lake Solar BESS,100.0
Boulder Solar III BESS,127.9
DPV_Nevada Power ND,1372.6
DPV_Sierra ND,98.5
Clark 17,57.0
PPA_Contracted_DR_DSM_PV,4.0
Clark Mt. 3,72.0
Clark 14,57.0
LV Gen 3_A,57.5
Clark 13,57.0
Sun Peak 3,74.0
Clark 18,57.0
"Clark 5, 6, 10_A",125.0
LV Gen 2_B,57.5
LV Gen 2_A,57.5
Goodsprings,6.0
"Clark 7, 8, 9_A",125.0
Jersey Valley Geothermal,22.5
Pinto,15.0
"Tracy 8, 9, 10_B",317.5
Lone Mountain,15.0
"Tracy 8, 9, 10_A",317.5
NVE_Owned_DR_DSM_BESS-2,4.0
Chuck Lenzi 2_B,311.5
"Clark 7, 8, 9_B",125.0
Silverhawk 4,224.0
Clark 19,57.0
Liberty (Cal Peco),12.0
North Valley Geothermal,25.0
Clark 21,57.0
NVE_Owned_DR_DSM_PV,278.0
USG San Emidio Geothermal,11.75
Valmy 2,134.0
Clark Mt. 4,72.0
"Clark 5, 6, 10_B",125.0
North Valley Eavor Loop,20.0
Silverhawk CC_A,303.5
Valmy CT 3,200.0
McGinness Hills Geothermal,96.0
Clark 12,57.0
Sun Peak 5,74.0
Galena 1,15.0
Clark 4,63.0
Ormat Western Geothermal,20.0
Burdette Geothermal Power Plant,15.0
Beowawe Geothermal Power Plant,20.0
Harry Allen 3,84.0
Sun Peak 4,74.0
Galena 3 Geothermal Power Plant,15.0
Ft. Churchill 1,113.0
Tuscarora Geothermal,32.0
Lockwood Renewable Energy Facility,3.2
LV Gen 1,51.0
Chuck Lenzi 1_A,311.5
Clark 11,57.0
Clark 22,57.0
Valmy CT 4,200.0
Valmy 1,127.0
Walt Higgings CC_B,310.0
Gerlach,15.0
Harry Allen 4,84.0
Silverhawk 3,224.0
Harry Allen CC_A,290.0
Clark 20,57.0
Chuck Lenzi 2_A,311.5
Ft. Churchill 2,113.0
Tracy 4&5 CC,108.0
Tracy 3,92.0
Desert Peak 2 Geothermal Power,10.0
LV Gen 3_B,57.5
Silverhawk CC_B,303.5
Walt Higgings CC_A,310.0
North Valley 2,15.0
Chuck Lenzi 1_B,311.5
Tuning Adjustment,642.0
NVE_Owned_DR_DSM_ACLM,283.0
Harry Allen CC_B,290.0
Clark 16,57.0
Apex Landfill Facility,12.0
Clark 15,57.0
ACE Searchlight Solar,17.5
Techren Solar 2,200.0
_PCM Generic Expansion_NVP_PV,486.08000000000004
Techren Solar V,50.0
Dry Lake East Solar,200.0
Boulder Solar I,100.0
Switch Station 1 (Playa Solar 1),100.0
Dodge Flat Solar,200.0
Dry Lake Solar,150.0
Switch Station 2 (Playa Solar 2),79.0
Battle Mountain Solar,101.0
Eagle Shadow Mountain Solar Farm,300.0
Fish Springs Ranch Solar,100.0
Mountain View Solar,20.0
Nellis Solar Array II,15.0
Spring Valley Wind,151.8
Techren Solar I,100.0
Techren Solar III,25.0
Techren Solar IV,25.0
Turquoise Nevada,50.0
Boulder Solar II,50.0
FRV Spectrum Solar,30.0
Sierra Solar,400.0
RV Apex Solar,20.0
Arrow Canyon Solar,200.0
Silver State Solar,52.0
Ft. Churchill Solar,19.5
Libra Solar,700.0
Boulder Solar III,127.9
Gemini Solar,690.0
_PCM Generic Expansion_SPPC_PV,486.08000000000004
Copper Mountain Solar 5,250.0
_PCM Generic Expansion_SPPC_Wind (ID),952.0
Hoover Dam (NV),121.0
