hour,date,WY_1998,WY_1999,WY_2000,WY_2001,WY_2002,WY_2003,WY_2004,WY_2005,WY_2006,WY_2007,WY_2008,WY_2009,WY_2010,WY_2011,WY_2012,WY_2013,WY_2014,WY_2015,WY_2016,WY_2017,WY_2018,WY_2019,WY_2020,WY_2021,WY_2022
1,2030-01-01T00:00:00.0,4386.5,4329.5,4494.5,4239.5,4163.5,4523.5,4658.5,4643.5,4474.5,4886.5,5209.5,4774.5,4962.5,5403.5,4686.5,5044.5,4569.5,5003.5,5009.5,4445.5,4453.5,4857.5,4706.5,4181.5,4378.5
2,2030-01-01T01:00:00.0,4160.9,4160.9,4277.9,4046.8999999999996,4003.9,4356.9,4490.9,4415.9,4256.9,4703.9,5006.9,4521.9,4755.900000000001,5151.9,4509.9,4868.9,4386.9,4799.9,4831.9,4214.9,4249.9,4686.9,4495.9,3966.8999999999996,4179.9
3,2030-01-01T02:00:00.0,4070.3,4078.2999999999997,4184.3,3963.2999999999997,3881.3,4311.299999999999,4444.3,4183.3,4147.299999999999,4610.3,4915.3,4434.3,4758.3,5004.3,4426.3,4783.3,4288.3,4710.3,4733.299999999999,4161.3,4193.299999999999,4626.3,4434.3,3905.2999999999997,4075.3
4,2030-01-01T03:00:00.0,4042.5,4056.5,4177.5,3941.5,3896.5,4317.5,4421.5,4294.5,4085.5,4580.5,4891.5,4407.5,4716.5,4950.5,4378.5,4747.5,4265.5,4674.5,4712.5,4105.5,4171.5,4566.5,4373.5,3918.5,4102.5
5,2030-01-01T04:00:00.0,4089.1,4112.1,4141.1,4021.1,3934.1,4416.1,4523.1,4304.1,4095.1,4580.1,4926.1,4412.099999999999,4650.1,4955.1,4400.1,4761.099999999999,4259.1,4641.1,4680.1,4085.1,4164.1,4576.1,4390.1,3978.1000000000004,4088.1
6,2030-01-01T05:00:00.0,4221.2,4288.2,4231.2,4191.200000000001,4102.2,4595.2,4687.2,4324.200000000001,4131.2,4622.200000000001,4952.2,4474.2,4658.2,4979.200000000001,4428.200000000001,4825.2,4257.2,4705.200000000001,4801.2,4138.2,4215.2,4645.200000000001,4425.2,4157.200000000001,4184.2
7,2030-01-01T06:00:00.0,4361.1,4511.1,4325.1,4354.1,4345.1,4789.1,4834.1,4286.1,4189.1,4595.1,4940.1,4506.1,4639.1,4982.1,4401.1,4833.1,4319.1,4725.1,4853.1,4180.1,4308.1,4695.1,4506.1,4283.1,4276.1
8,2030-01-01T07:00:00.0,4366.599999999999,4487.6,4302.6,4370.6,4369.6,4738.6,4787.6,4281.6,4103.6,4461.700000000001,4831.6,4350.6,4498.599999999999,4827.6,4290.6,4704.6,4217.6,4610.6,4682.599999999999,4086.6,4180.6,4601.6,4455.6,4240.6,4188.6
9,2030-01-01T08:00:00.0,4284.1,4289.1,4210.1,4261.1,4249.1,4533.1,4573.1,4312.1,4038.1,4285.1,4605.1,4162.1,4301.1,4701.1,4131.1,4558.1,4030.1000000000004,4454.099999999999,4438.1,3943.2000000000003,4052.1,4392.1,4317.1,4142.1,4150.1
10,2030-01-01T09:00:00.0,4390.2,4317.2,4235.2,4288.299999999999,4295.200000000001,4516.2,4536.2,4460.2,4156.2,4333.2,4617.200000000001,4229.2,4371.2,4725.2,4179.2,4550.2,4081.2,4479.200000000001,4441.200000000001,3947.2,4038.2,4409.2,4232.200000000001,4116.2,4189.2
