name,available,prime_mover_type,bus_id,fuel,base_mva,rating,unit_type,active_power,active_power_limits_max,min_rated_capacity,min_down_time,min_up_time,mean_time_to_repair,forced_outage_rate,planned_outage_rate,ramp_up,ramp_down,category,must_run,pump_load,vom_price,fixed,start_up,heat_rate_a0,shut_down,heat_rate_a1,heat_rate_a2,fuel_price
Spring Valley Wind,TRUE,WT,1,NA,1,151.8,NA,151.8,151.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Copper Mountain Solar 5,TRUE,PV,1,NA,1,250,NA,250,250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
RV Apex Solar,TRUE,PV,1,NA,1,20,NA,20,20.0012,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Dry Lake Solar,TRUE,PV,1,NA,1,150,NA,150,161.1225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Boulder Solar II,TRUE,PV,3,NA,1,50,NA,50,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Battle Mountain Solar,TRUE,PV,3,NA,1,101,NA,101,104.8481,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Techren Solar I,TRUE,PV,1,NA,1,100,NA,100,100.004,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Mountain View Solar,TRUE,PV,1,NA,1,20,NA,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Fish Springs Ranch Solar,TRUE,PV,3,NA,1,100,NA,100,109.486,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Switch Station 1 (Playa Solar 1),TRUE,PV,1,NA,1,100,NA,100,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Boulder Solar III,TRUE,PV,1,NA,1,127.9,NA,127.9,136.420698,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Idaho Wind,TRUE,WT,3,NA,1,952,NA,952,952,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Techren Solar III,TRUE,PV,1,NA,1,25,NA,25,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Ft. Churchill Solar,TRUE,PV,3,NA,1,19.5,NA,19.5,19.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Techren Solar IV,TRUE,PV,3,NA,1,25,NA,25,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Gemini Solar,TRUE,PV,1,NA,1,690,NA,690,741.9363,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Switch Station 2 (Playa Solar 2),TRUE,PV,3,NA,1,79,NA,79,79,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Techren Solar 2,TRUE,PV,3,NA,1,200,NA,200,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Sierra Solar,TRUE,PV,3,NA,1,400,NA,400,454.572,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Libra Solar,TRUE,PV,1,NA,1,700,NA,700,700.014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Sierra Solar II,TRUE,PV,3,NA,1,600,NA,600,681.858,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Dry Lake East Solar,TRUE,PV,1,NA,1,200,NA,200,214.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Eagle Shadow Mountain Solar Farm,TRUE,PV,1,NA,1,300,NA,300,300.003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Silver State Solar,TRUE,PV,1,NA,1,52,NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
_NVE IRP Expansion_SPPC_PV (Standalone),TRUE,PV,3,NA,1,840,NA,840,840.0168,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
ACE Searchlight Solar,TRUE,PV,1,NA,1,17.5,NA,17.5,17.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Turquoise Nevada,TRUE,PV,3,NA,1,50,NA,50,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
FRV Spectrum Solar,TRUE,PV,1,NA,1,30,NA,30,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Techren Solar V,TRUE,PV,1,NA,1,50,NA,50,50.004,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Dodge Flat Solar,TRUE,PV,3,NA,1,200,NA,200,224.212,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Arrow Canyon Solar,TRUE,PV,3,NA,1,200,NA,200,215.58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Boulder Solar I,TRUE,PV,1,NA,1,100,NA,100,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Nellis Solar Array II,TRUE,PV,1,NA,1,15,NA,15,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
Hoover Dam (NV),TRUE,HY,1,NA,1,237.6,NA,237.6,237.6,0,1,1,63,8.25,NA,23.76,23.76,NA,1,NA,2.5,0,0,NA,NA,NA,NA,0
Arrow Canyon Solar BESS,TRUE,BA,3,NA,1,75,NA,75,75,0,NA,NA,24,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Battle Mountain Solar BESS,TRUE,BA,3,NA,1,24.68,NA,24.68,24.68,0,NA,NA,24,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Dodge Flat Solar BESS,TRUE,BA,3,NA,1,50,NA,50,50,0,NA,NA,24,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Libra Solar BESS,TRUE,BA,1,NA,1,700,NA,700,700,0,NA,NA,24,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Sierra Solar BESS,TRUE,BA,3,NA,1,400,NA,400,400,0,NA,NA,24,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Dry Lake East Solar BESS,TRUE,BA,1,NA,1,200,NA,200,200,0,NA,NA,24,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Dry Lake Solar BESS,TRUE,BA,1,NA,1,100,NA,100,100,0,NA,NA,24,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Gemini Solar BESS,TRUE,BA,1,NA,1,380,NA,380,380,0,NA,NA,24,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Boulder Solar III BESS,TRUE,BA,1,NA,1,127.9,NA,127.9,127.9,0,NA,NA,24,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Fish Springs Ranch Solar BESS,TRUE,BA,3,NA,1,24.91,NA,24.91,24.91,0,NA,NA,24,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
_NVE IRP Expansion_SPPC_BESS (Standalone),TRUE,BA,3,NA,1,2,NA,2,2,0,NA,NA,24,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
