Parent Name,Collection,Property,Band,Datetime,Units,Nevada Power Non-Spin,Nevada Power Regulation,Nevada Power Spin,Sierra Non-Spin,Sierra Regulation,Sierra Spin
System,Reserve,Risk,1,1/1/30,MW,75.15,61.50,75.15,54.99,19.50,54.99
System,Reserve,Risk,1,1/1/30 1:00,MW,71.38,61.50,71.38,53.20,19.50,53.20
System,Reserve,Risk,1,1/1/30 2:00,MW,69.58,61.50,69.58,52.02,19.50,52.02
System,Reserve,Risk,1,1/1/30 3:00,MW,68.65,61.50,68.65,51.72,19.50,51.72
System,Reserve,Risk,1,1/1/30 4:00,MW,68.87,61.50,68.87,51.94,19.50,51.94
System,Reserve,Risk,1,1/1/30 5:00,MW,70.31,61.50,70.31,52.67,19.50,52.67
System,Reserve,Risk,1,1/1/30 6:00,MW,71.80,61.50,71.80,54.63,19.50,54.63
System,Reserve,Risk,1,1/1/30 7:00,MW,70.87,61.50,70.87,56.41,19.50,56.41
System,Reserve,Risk,1,1/1/30 8:00,MW,62.23,61.50,62.23,56.01,19.50,56.01
System,Reserve,Risk,1,1/1/30 9:00,MW,59.06,61.50,59.06,55.64,19.50,55.64
System,Reserve,Risk,1,1/1/30 10:00,MW,55.70,61.50,55.70,55.81,19.50,55.81
System,Reserve,Risk,1,1/1/30 11:00,MW,53.80,61.50,53.80,55.32,19.50,55.32
System,Reserve,Risk,1,1/1/30 12:00,MW,55.39,61.50,55.39,55.55,19.50,55.55
System,Reserve,Risk,1,1/1/30 13:00,MW,56.15,61.50,56.15,54.59,19.50,54.59
System,Reserve,Risk,1,1/1/30 14:00,MW,59.64,61.50,59.64,54.84,19.50,54.84
System,Reserve,Risk,1,1/1/30 15:00,MW,64.62,61.50,64.62,55.43,19.50,55.43
System,Reserve,Risk,1,1/1/30 16:00,MW,73.35,61.50,73.35,57.07,19.50,57.07
System,Reserve,Risk,1,1/1/30 17:00,MW,79.87,61.50,79.87,59.51,19.50,59.51
System,Reserve,Risk,1,1/1/30 18:00,MW,80.23,61.50,80.23,58.79,19.50,58.79
System,Reserve,Risk,1,1/1/30 19:00,MW,78.46,61.50,78.46,57.43,19.50,57.43
System,Reserve,Risk,1,1/1/30 20:00,MW,76.29,61.50,76.29,55.90,19.50,55.90
System,Reserve,Risk,1,1/1/30 21:00,MW,74.40,61.50,74.40,53.61,19.50,53.61
System,Reserve,Risk,1,1/1/30 22:00,MW,75.07,61.50,75.07,53.39,19.50,53.39
System,Reserve,Risk,1,1/1/30 23:00,MW,72.05,61.50,72.05,51.52,19.50,51.52
System,Reserve,Risk,1,1/2/30,MW,68.27,61.50,68.27,49.75,19.50,49.75
System,Reserve,Risk,1,1/2/30 1:00,MW,66.84,61.50,66.84,49.37,19.50,49.37
System,Reserve,Risk,1,1/2/30 2:00,MW,65.64,61.50,65.64,48.93,19.50,48.93
System,Reserve,Risk,1,1/2/30 3:00,MW,65.67,61.50,65.67,49.04,19.50,49.04
System,Reserve,Risk,1,1/2/30 4:00,MW,68.04,61.50,68.04,50.01,19.50,50.01
System,Reserve,Risk,1,1/2/30 5:00,MW,70.55,61.50,70.55,51.71,19.50,51.71
System,Reserve,Risk,1,1/2/30 6:00,MW,74.99,61.50,74.99,54.86,19.50,54.86
System,Reserve,Risk,1,1/2/30 7:00,MW,74.57,61.50,74.57,57.25,19.50,57.25
System,Reserve,Risk,1,1/2/30 8:00,MW,68.24,61.50,68.24,56.68,19.50,56.68
System,Reserve,Risk,1,1/2/30 9:00,MW,62.79,61.50,62.79,56.25,19.50,56.25
System,Reserve,Risk,1,1/2/30 10:00,MW,58.43,61.50,58.43,56.38,19.50,56.38
System,Reserve,Risk,1,1/2/30 11:00,MW,57.21,61.50,57.21,55.57,19.50,55.57
System,Reserve,Risk,1,1/2/30 12:00,MW,56.25,61.50,56.25,55.04,19.50,55.04
System,Reserve,Risk,1,1/2/30 13:00,MW,57.56,61.50,57.56,54.88,19.50,54.88
System,Reserve,Risk,1,1/2/30 14:00,MW,60.52,61.50,60.52,54.58,19.50,54.58
System,Reserve,Risk,1,1/2/30 15:00,MW,66.12,61.50,66.12,55.26,19.50,55.26
System,Reserve,Risk,1,1/2/30 16:00,MW,74.59,61.50,74.59,56.93,19.50,56.93
System,Reserve,Risk,1,1/2/30 17:00,MW,79.93,61.50,79.93,58.59,19.50,58.59
System,Reserve,Risk,1,1/2/30 18:00,MW,81.25,61.50,81.25,58.06,19.50,58.06
System,Reserve,Risk,1,1/2/30 19:00,MW,79.62,61.50,79.62,56.70,19.50,56.70
System,Reserve,Risk,1,1/2/30 20:00,MW,77.08,61.50,77.08,55.21,19.50,55.21
System,Reserve,Risk,1,1/2/30 21:00,MW,74.15,61.50,74.15,53.36,19.50,53.36
System,Reserve,Risk,1,1/2/30 22:00,MW,74.54,61.50,74.54,52.89,19.50,52.89
System,Reserve,Risk,1,1/2/30 23:00,MW,71.16,61.50,71.16,51.16,19.50,51.16
System,Reserve,Risk,1,1/3/30,MW,69.59,61.50,69.59,51.21,19.50,51.21
System,Reserve,Risk,1,1/3/30 1:00,MW,67.94,61.50,67.94,50.83,19.50,50.83
System,Reserve,Risk,1,1/3/30 2:00,MW,67.02,61.50,67.02,50.10,19.50,50.10
System,Reserve,Risk,1,1/3/30 3:00,MW,66.96,61.50,66.96,50.50,19.50,50.50
System,Reserve,Risk,1,1/3/30 4:00,MW,68.72,61.50,68.72,51.37,19.50,51.37
System,Reserve,Risk,1,1/3/30 5:00,MW,71.50,61.50,71.50,53.47,19.50,53.47
System,Reserve,Risk,1,1/3/30 6:00,MW,76.69,61.50,76.69,57.06,19.50,57.06
System,Reserve,Risk,1,1/3/30 7:00,MW,75.70,61.50,75.70,58.97,19.50,58.97
System,Reserve,Risk,1,1/3/30 8:00,MW,67.93,61.50,67.93,58.11,19.50,58.11
System,Reserve,Risk,1,1/3/30 9:00,MW,62.93,61.50,62.93,57.86,19.50,57.86
System,Reserve,Risk,1,1/3/30 10:00,MW,58.65,61.50,58.65,57.05,19.50,57.05
System,Reserve,Risk,1,1/3/30 11:00,MW,55.60,61.50,55.60,56.89,19.50,56.89
System,Reserve,Risk,1,1/3/30 12:00,MW,55.27,61.50,55.27,56.74,19.50,56.74
System,Reserve,Risk,1,1/3/30 13:00,MW,56.26,61.50,56.26,56.43,19.50,56.43
System,Reserve,Risk,1,1/3/30 14:00,MW,59.71,61.50,59.71,55.83,19.50,55.83
System,Reserve,Risk,1,1/3/30 15:00,MW,65.85,61.50,65.85,56.35,19.50,56.35
System,Reserve,Risk,1,1/3/30 16:00,MW,74.55,61.50,74.55,58.24,19.50,58.24
System,Reserve,Risk,1,1/3/30 17:00,MW,80.71,61.50,80.71,61.00,19.50,61.00
System,Reserve,Risk,1,1/3/30 18:00,MW,80.63,61.50,80.63,60.64,19.50,60.64
System,Reserve,Risk,1,1/3/30 19:00,MW,78.83,61.50,78.83,58.99,19.50,58.99
System,Reserve,Risk,1,1/3/30 20:00,MW,77.02,61.50,77.02,57.35,19.50,57.35
System,Reserve,Risk,1,1/3/30 21:00,MW,73.81,61.50,73.81,55.39,19.50,55.39
System,Reserve,Risk,1,1/3/30 22:00,MW,73.42,61.50,73.42,54.89,19.50,54.89
System,Reserve,Risk,1,1/3/30 23:00,MW,71.12,61.50,71.12,53.00,19.50,53.00
System,Reserve,Risk,1,1/4/30,MW,67.09,61.50,67.09,52.93,19.50,52.93
System,Reserve,Risk,1,1/4/30 1:00,MW,65.88,61.50,65.88,52.18,19.50,52.18
System,Reserve,Risk,1,1/4/30 2:00,MW,65.23,61.50,65.23,51.36,19.50,51.36
System,Reserve,Risk,1,1/4/30 3:00,MW,65.24,61.50,65.24,51.46,19.50,51.46
System,Reserve,Risk,1,1/4/30 4:00,MW,66.54,61.50,66.54,52.07,19.50,52.07
System,Reserve,Risk,1,1/4/30 5:00,MW,70.00,61.50,70.00,53.93,19.50,53.93
System,Reserve,Risk,1,1/4/30 6:00,MW,74.94,61.50,74.94,57.32,19.50,57.32
System,Reserve,Risk,1,1/4/30 7:00,MW,74.68,61.50,74.68,60.20,19.50,60.20
System,Reserve,Risk,1,1/4/30 8:00,MW,66.71,61.50,66.71,59.83,19.50,59.83
System,Reserve,Risk,1,1/4/30 9:00,MW,60.66,61.50,60.66,59.03,19.50,59.03
System,Reserve,Risk,1,1/4/30 10:00,MW,57.22,61.50,57.22,58.20,19.50,58.20
System,Reserve,Risk,1,1/4/30 11:00,MW,55.06,61.50,55.06,57.71,19.50,57.71
System,Reserve,Risk,1,1/4/30 12:00,MW,54.23,61.50,54.23,57.99,19.50,57.99
System,Reserve,Risk,1,1/4/30 13:00,MW,54.33,61.50,54.33,57.32,19.50,57.32
