name,available,bus_id,fuel,fuel_price,active_power,reactive_power,active_power_limits_max,active_power_limits_min,reactive_power_limits_max,reactive_power_limits_min,min_down_time,min_up_time,ramp_limits,ramp_up,ramp_down,startup_heat_cold_cost,heat_rate_a0,heat_rate_a1,heat_rate_a2,heat_rate_avg_0,heat_rate_incr_1,heat_rate_incr_2,heat_rate_incr_3,heat_rate_incr_4,heat_rate_incr_5,heat_rate_incr_6,heat_rate_incr_7,heat_rate_incr_8,heat_rate_incr_9,heat_rate_incr_10,heat_rate_incr_11,heat_rate_incr_12,cost_point_0,cost_point_1,cost_point_2,cost_point_3,cost_point_4,cost_point_5,cost_point_6,cost_point_7,cost_point_8,cost_point_9,cost_point_10,cost_point_11,cost_point_12,output_point_0,output_point_1,output_point_2,output_point_3,output_point_4,output_point_5,output_point_6,output_point_7,output_point_8,output_point_9,output_point_10,output_point_11,output_point_12,base_mva,variable_cost,fixed_cost,startup_cost,shutdown_cost,curtailment_cost,power_factor,unit_type,category,cold_start_time,warm_start_time,hot_start_time,startup_ramp,shutdown_ramp,status_at_start,time_at_status,cold_start_cost,warm_start_cost,hot_start_cost,must_run,pump_load,pump_active_power_limits_max,pump_active_power_limits_min,pump_reactive_power_limits_max,pump_reactive_power_limits_min,pump_min_down_time,pump_min_up_time,pump_ramp_limits,pump_ramp_up,pump_ramp_down,generator_category
_PCM Generic Expansion_SPPC_Wind (ID),True,2,NA,0.0,0,0,952.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0,0.0,NA,NA,1.0,WT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_PCM Generic Expansion_SPPC_PV,True,2,NA,0.0,0,0,486.08000000000004,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0,0.0,NA,NA,1.0,PV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_PCM Generic Expansion_NVP_PV,True,1,NA,0.0,0,0,486.08000000000004,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0,0.0,NA,NA,1.0,PV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walt Higgings CC_B,True,1,GAS,3324.1863013698626,0,0,310.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,7.724236105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,2.8,27176.0,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walt Higgings CC_A,True,1,GAS,3324.1863013698626,0,0,310.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,7.626167755000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,2.8,27176.0,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valmy CT 4,True,2,GAS,3324.1863013698626,0,0,200.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,10.3698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,4.8,13800.0,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valmy CT 3,True,2,GAS,3324.1863013698626,0,0,200.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,10.3698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,4.8,13800.0,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valmy 2,True,2,GAS,3324.1863013698626,0,0,134.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,10.35164776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,2.0,17286.0,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valmy 1,True,2,GAS,3324.1863013698626,0,0,127.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,9.977336484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,2.0,16383.0,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USG San Emidio Geothermal,True,2,GEOTHERMAL,0.0,0,0,11.75,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,3.0,0.0,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuscarora Geothermal,True,1,GEOTHERMAL,0.0,0,0,32.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,3.0,0.0,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turquoise Nevada,True,2,NA,0.0,0,0,50.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0,0.0,NA,NA,1.0,PV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tracy 8, 9, 10_B",True,2,GAS,3324.1863013698626,0,0,317.5,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,8.042434446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,2.8,24608.5,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tracy 8, 9, 10_A",True,2,GAS,3324.1863013698626,0,0,317.5,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,7.841736674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,2.8,24608.5,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tracy 4&5 CC,True,2,GAS,3324.1863013698626,0,0,108.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,8.246704208999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,2.8,8927.0,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tracy 3,True,2,GAS,3324.1863013698626,0,0,92.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,11.6662768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,2.8,14190.0,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Techren Solar V,True,1,NA,0.0,0,0,50.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0,0.0,NA,NA,1.0,PV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Techren Solar IV,True,2,NA,0.0,0,0,25.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0,0.0,NA,NA,1.0,PV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Techren Solar III,True,1,NA,0.0,0,0,25.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0,0.0,NA,NA,1.0,PV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Techren Solar I,True,1,NA,0.0,0,0,100.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0,0.0,NA,NA,1.0,PV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Techren Solar 2,True,2,NA,0.0,0,0,200.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0,0.0,NA,NA,1.0,PV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switch Station 2 (Playa Solar 2),True,2,NA,0.0,0,0,79.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0,0.0,NA,NA,1.0,PV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switch Station 1 (Playa Solar 1),True,1,NA,0.0,0,0,100.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0,0.0,NA,NA,1.0,PV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun Peak 5,True,1,GAS,3324.1863013698626,0,0,74.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,13.23574935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,4.8,6768.9,NA,NA,1.0,GT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
