name,heat_rate_avg_0,heat_rate_incr_1,heat_rate_incr_2,heat_rate_incr_3,heat_rate_incr_4,heat_rate_incr_5,output_point_0,output_point_1,output_point_2,output_point_3,output_point_4,output_point_5
Harry Allen CC_A,1107.171587080676,1277.5424191484453,1462.270839524705,1661.3568482094556,1874.8004452026971,2102.6016305044295,133.5,164.8,196.1,227.4,258.7,290.0
Clark 20,390.29463061481715,457.48602823666636,530.7021077528477,609.9428691633611,695.2083124682068,786.4984376673847,35.0,40.1,45.2,50.3,55.4,60.5
Clark 11,406.04186248660085,499.4956979565502,609.0941094556808,734.837096983993,876.7246605414867,1034.756800128162,35.0,40.1,45.2,50.3,55.4,60.5
Sun Peak 3,884.0560627621412,959.3351092816628,1037.9216276976776,1119.815618010186,1205.0170802191876,1293.5260143246828,65.0,71.62,78.24,84.86,91.47999999999999,98.1
Silverhawk 4,1417.1798124411703,1539.4953827486038,1691.0089842961431,1871.720617083788,2081.6302811115384,2320.7379763793942,83.0,111.2,139.4,167.6,195.8,224.0
Walt Higgings CC_A,1040.9816437371446,1290.7235436478852,1579.2879363760426,1906.674821921617,2272.8842002846077,2677.916071465015,121.0,165.6,210.2,254.8,299.4,344.0
LV Gen 1,252.90072785951196,302.698581215253,355.03278296395297,409.903333105612,467.31023164022974,527.2534785678066,25.0,32.26,39.519999999999996,46.78,54.04,61.3
Sun Peak 4,884.0560627621412,959.3351092816628,1037.9216276976776,1119.815618010186,1205.0170802191876,1293.5260143246828,65.0,71.62,78.24,84.86,91.47999999999999,98.1
LV Gen 3_A,236.15941222384572,297.45609767341614,360.90091592085963,426.49386696617603,494.2349508093656,564.1241674504281,25.0,34.88,44.760000000000005,54.64,64.52000000000001,74.4
Clark 14,394.6881176197529,473.32040814181573,564.850616731453,669.2787433886647,786.6047881134509,916.8287509058118,35.0,40.1,45.2,50.3,55.4,60.5
Silverhawk 3,1417.1798124411703,1539.4953827486038,1691.0089842961431,1871.720617083788,2081.6302811115384,2320.7379763793942,83.0,111.2,139.4,167.6,195.8,224.0
Silverhawk CC_B,1108.8204830675274,1298.287634386722,1526.9827137231828,1794.9057210769095,2102.0566564479022,2448.4355198361613,131.0,165.5,200.0,234.5,269.0,303.5
Tracy 4&5 CC,473.77113927537204,549.0021413021564,634.0878596638798,729.0282943605423,833.8234453921438,948.4733127586842,51.5,63.8,76.1,88.4,100.7,113.0
