hour,date,WY_1998,WY_1999,WY_2000,WY_2001,WY_2002,WY_2003,WY_2004,WY_2005,WY_2006,WY_2007,WY_2008,WY_2009,WY_2010,WY_2011,WY_2012,WY_2013,WY_2014,WY_2015,WY_2016,WY_2017,WY_2018,WY_2019,WY_2020,WY_2021,WY_2022
1,2030-01-01T00:00:00.0,1775.5,1751.9,1820.1,1714.7,1683.4,1832.0,1887.8000000000002,1881.6,1811.7999999999997,1982.0,2115.4,1935.7000000000003,2013.3,2195.5,1899.3999999999999,2047.2,1850.9999999999998,2030.2999999999997,2032.8,1799.7999999999997,1803.1,1970.0,1907.6,1690.8,1772.2
2,2030-01-01T01:00:00.0,1692.8,1692.8,1741.1,1645.7,1628.0,1773.7999999999997,1829.0999999999997,1798.1,1732.5,1917.0999999999997,2042.2000000000003,1841.9,1938.6000000000001,2102.1,1836.9999999999998,1985.2,1786.2,1956.7,1969.9,1715.1,1729.6,1910.1,1831.2,1612.7,1700.7
3,2030-01-01T02:00:00.0,1658.3,1661.6,1705.4,1614.1,1580.2,1757.7999999999997,1812.7,1704.9,1690.1,1881.3,2007.3,1808.6000000000001,1942.4,2044.0,1805.3000000000002,1952.7,1748.3,1922.6000000000001,1932.1,1695.9,1709.1,1887.9,1808.6000000000001,1590.1,1660.3
4,2030-01-01T03:00:00.0,1648.1,1653.9,1703.9,1606.4,1587.8,1761.6999999999998,1804.6000000000001,1752.2,1665.9,1870.3,1998.7,1798.8999999999999,1926.5,2023.1000000000001,1786.8999999999999,1939.3,1740.2,1909.0999999999997,1924.8,1674.1,1701.4,1864.5000000000002,1784.8,1596.9,1672.9
5,2030-01-01T04:00:00.0,1667.5,1677.0,1689.0,1639.5,1603.5,1802.6000000000001,1846.8,1756.3,1670.0,1870.3,2013.2,1800.8999999999999,1899.2,2025.2,1796.0,1945.0999999999997,1737.7999999999997,1895.5,1911.6,1665.9,1698.5,1868.7,1791.9,1621.7,1667.1
6,2030-01-01T05:00:00.0,1721.8,1749.5,1726.0,1709.4,1672.7,1876.3,1914.2999999999997,1764.4000000000003,1684.7,1887.4,2023.7,1826.3,1902.2999999999997,2034.9000000000003,1807.3000000000002,1971.3,1736.7,1921.7000000000003,1961.3999999999999,1687.5,1719.3,1896.9000000000003,1806.1,1695.4,1706.5
7,2030-01-01T06:00:00.0,1777.3000000000002,1839.2,1762.4000000000003,1774.4000000000003,1770.7,1954.1,1972.6000000000001,1746.3,1706.3,1873.9,2016.4,1837.2,1892.1,2033.8000000000002,1793.7999999999997,1972.1999999999998,1759.9,1927.6,1980.5,1702.5,1755.4,1915.2,1837.2,1745.1,1742.2
8,2030-01-01T07:00:00.0,1776.5999999999997,1826.6000000000001,1750.2,1778.3,1777.9,1930.2999999999997,1950.5,1741.5,1668.0,1815.9,1968.7,1770.0,1831.0999999999997,1967.0000000000002,1745.2,1916.1999999999998,1715.1,1877.4,1907.0999999999997,1661.0,1699.8,1873.7000000000003,1813.4,1724.6,1703.1
9,2030-01-01T08:00:00.0,1752.7,1754.7,1722.1,1743.2,1738.2,1855.5,1872.0,1764.2,1651.1,1753.1,1885.3,1702.3,1759.6999999999998,1924.9000000000003,1689.5,1865.8000000000002,1647.8,1822.8999999999999,1816.3,1611.9,1656.9,1797.3000000000002,1766.3,1694.0,1697.3
10,2030-01-01T09:00:00.0,1792.7,1762.5000000000002,1728.7,1750.5999999999997,1753.4,1844.7,1852.9999999999998,1821.6,1696.0,1769.1,1886.4,1726.2,1784.8,1930.9999999999998,1705.5,1858.8,1665.1,1829.4,1813.7000000000003,1609.7,1647.3,1800.5000000000002,1727.4,1679.5,1709.7
