solar_names
ACE Searchlight Solar
Techren Solar 2
Techren Solar V
Dry Lake East Solar
Switch Station 1 (Playa Solar 1)
Boulder Solar I
Dodge Flat Solar
Dry Lake Solar
Switch Station 2 (Playa Solar 2)
Sierra Solar II
Battle Mountain Solar
Techren Solar I
Fish Springs Ranch Solar
Mountain View Solar
Techren Solar IV
Eagle Shadow Mountain Solar Farm
_NVE IRP Expansion_SPPC_PV (Standalone)
Turquoise Nevada
Techren Solar III
Nellis Solar Array II
Boulder Solar II
Sierra Solar
FRV Spectrum Solar
RV Apex Solar
Arrow Canyon Solar
Silver State Solar
Ft. Churchill Solar
Libra Solar
Boulder Solar III
Gemini Solar
Copper Mountain Solar 5
