DateTime,SPPC,CFE,PACW,DWR-N,NCPA_Bay,NCPA_Valley,PG&E,SVP,WALC,PAUT,AESO,NEVP,TH_Mead,IPFE,IPMV,IPTV,PAID,AVA,CHPD,DOPD,GCPD,PGE,PSEI,SCL,TPWR,APS,TH_PV,BURB,GLEN,LDWP,IID,PAWY,WACM,PSCO,TID,NWMT,WAUW,TEPC,BPA,MID,RDNG,SMUD,WAPA_BANC,WAPA_Valley,SDGE,SRP,ANHM,DWR-S,MWD,PASA,RVSD,SCE,VEA,VERN,BCHA,EPE,PNM
2030-01-01T00:00,1154,1607,2523,11718,11718,11718,11718,11718,880,3175,11164,1924,1924,456,456,456,456,286,286,286,286,286,286,286,286,4643,4643,2644,2644,2644,227,3774,3774,5996,239,1585,1585,1809,7744,1350,1350,1350,1350,1350,2287,3725,10615,10615,10615,10615,10615,10615,10615,10615,8607,1607,1607
2030-01-01T01:00,1139,1530,2465,10884,10884,10884,10884,10884,1096,3101,10988,1896,1896,449,449,449,449,295,295,295,295,295,295,295,295,4548,4548,2551,2551,2551,224,3694,3694,5735,234,1555,1555,1763,7574,1308,1308,1308,1308,1308,2124,3573,9915,9915,9915,9915,9915,9915,9915,9915,8085,1438,1438
2030-01-01T02:00,1131,1467,2449,10252,10252,10252,10252,10252,1099,3062,10808,1889,1889,455,455,455,455,307,307,307,307,307,307,307,307,4518,4518,2498,2498,2498,226,3672,3672,5644,233,1533,1533,1732,7543,1304,1304,1304,1304,1304,2005,3523,9360,9360,9360,9360,9360,9360,9360,9360,7793,1366,1366
2030-01-01T03:00,1134,1402,2496,9849,9849,9849,9849,9849,1088,3059,10647,1890,1890,454,454,454,454,328,328,328,328,328,328,328,328,4514,4514,2513,2513,2513,240,3612,3612,5602,239,1528,1528,1734,7786,1361,1361,1361,1361,1361,1938,3517,9011,9011,9011,9011,9011,9011,9011,9011,7580,1351,1351
2030-01-01T04:00,1147,1460,2650,9871,9871,9871,9871,9871,1074,3066,10599,1908,1908,456,456,456,456,366,366,366,366,366,366,366,366,4556,4556,2639,2639,2639,253,3573,3573,5626,250,1535,1535,1756,8235,1498,1498,1498,1498,1498,1932,3551,9031,9031,9031,9031,9031,9031,9031,9031,7556,1360,1360
2030-01-01T05:00,1171,1565,2916,10165,10165,10165,10165,10165,1080,3134,10690,2004,2004,458,458,458,458,414,414,414,414,414,414,414,414,4655,4655,2877,2877,2877,285,3594,3594,5732,273,1551,1551,1809,9148,1749,1749,1749,1749,1749,2029,3703,9375,9375,9375,9375,9375,9375,9375,9375,7815,1402,1402
2030-01-01T06:00,1245,1649,3352,10808,10808,10808,10808,10808,1114,3261,10886,2210,2210,475,475,475,475,461,461,461,461,461,461,461,461,4811,4811,3060,3060,3060,303,3661,3661,6047,289,1586,1586,1893,10405,1964,1964,1964,1964,1964,2256,4031,9961,9961,9961,9961,9961,9961,9961,9961,8275,1575,1575
2030-01-01T07:00,1301,1758,3733,11429,11429,11429,11429,11429,1167,3394,11158,2226,2226,494,494,494,494,490,490,490,490,490,490,490,490,5178,5178,3232,3232,3232,313,3769,3769,6517,293,1687,1687,2010,11527,2004,2004,2004,2004,2004,2249,4826,9920,9920,9920,9920,9920,9920,9920,9920,9061,1845,1845
2030-01-01T08:00,1328,1832,3760,11096,11096,11096,11096,11096,1219,3500,11578,2218,2218,494,494,494,494,485,485,485,485,485,485,485,485,5509,5509,3375,3375,3375,320,3881,3881,6790,295,1813,1813,2133,11586,2018,2018,2018,2018,2018,1904,5110,9221,9221,9221,9221,9221,9221,9221,9221,10172,1967,1967
2030-01-01T09:00,1330,1901,3715,10373,10373,10373,10373,10373,1052,3558,11891,2190,2190,505,505,505,505,461,461,461,461,461,461,461,461,5288,5288,3455,3455,3455,314,3908,3908,6864,297,1820,1820,2027,11128,2016,2016,2016,2016,2016,1562,4765,8225,8225,8225,8225,8225,8225,8225,8225,10766,1953,1953
2030-01-01T10:00,1322,1968,3577,9638,9638,9638,9638,9638,1017,3590,11914,2136,2136,490,490,490,490,439,439,439,439,439,439,439,439,4900,4900,3502,3502,3502,317,3946,3946,6877,295,1819,1819,1921,10564,1984,1984,1984,1984,1984,1274,4358,7471,7471,7471,7471,7471,7471,7471,7471,10908,1891,1891
2030-01-01T11:00,1296,2005,3430,8874,8874,8874,8874,8874,953,3588,11972,2099,2099,475,475,475,475,418,418,418,418,418,418,418,418,4715,4715,3503,3503,3503,316,3950,3950,6854,292,1807,1807,1862,10137,1929,1929,1929,1929,1929,1101,4063,7059,7059,7059,7059,7059,7059,7059,7059,10913,1818,1818
2030-01-01T12:00,1263,1997,3338,8431,8431,8431,8431,8431,908,3570,11987,2028,2028,489,489,489,489,399,399,399,399,399,399,399,399,4551,4551,3497,3497,3497,308,3902,3902,6823,289,1781,1781,1799,9837,1870,1870,1870,1870,1870,1046,3825,6928,6928,6928,6928,6928,6928,6928,6928,10792,1748,1748
2030-01-01T13:00,1251,2009,3258,8560,8560,8560,8560,8560,893,3553,11950,2005,2005,487,487,487,487,389,389,389,389,389,389,389,389,4422,4422,3456,3456,3456,304,3861,3861,6739,288,1750,1750,1755,9651,1796,1796,1796,1796,1796,1177,3667,7222,7222,7222,7222,7222,7222,7222,7222,10683,1688,1688
2030-01-01T14:00,1238,1993,3175,9278,9278,9278,9278,9278,885,3541,11902,1994,1994,479,479,479,479,390,390,390,390,390,390,390,390,4312,4312,3414,3414,3414,293,3792,3792,6677,286,1741,1741,1738,9601,1780,1780,1780,1780,1780,1452,3545,7962,7962,7962,7962,7962,7962,7962,7962,10483,1648,1648
2030-01-01T15:00,1270,1971,3224,10373,10373,10373,10373,10373,813,3519,11886,2047,2047,483,483,483,483,400,400,400,400,400,400,400,400,4288,4288,3439,3439,3439,304,3759,3759,6597,289,1724,1724,1721,9691,1877,1877,1877,1877,1877,1912,3485,9162,9162,9162,9162,9162,9162,9162,9162,10312,1626,1626
2030-01-01T16:00,1344,1992,3412,11753,11753,11753,11753,11753,799,3563,11953,2328,2328,492,492,492,492,433,433,433,433,433,433,433,433,4352,4352,3752,3752,3752,359,3727,3727,6690,316,1730,1730,1732,10434,2188,2188,2188,2188,2188,2504,3459,10396,10396,10396,10396,10396,10396,10396,10396,10458,1669,1669
2030-01-01T17:00,1449,2149,3752,13380,13380,13380,13380,13380,862,3701,12290,2776,2776,505,505,505,505,443,443,443,443,443,443,443,443,4497,4497,3844,3844,3844,375,3779,3779,7044,326,1793,1793,1793,11723,2284,2284,2284,2284,2284,2938,3549,11853,11853,11853,11853,11853,11853,11853,11853,11324,1774,1774
2030-01-01T18:00,1464,2164,3742,13912,13912,13912,13912,13912,897,3809,12747,2810,2810,518,518,518,518,434,434,434,434,434,434,434,434,4765,4765,3792,3792,3792,373,4000,4000,7675,324,1897,1897,1916,11628,2265,2265,2265,2265,2265,3036,3904,12396,12396,12396,12396,12396,12396,12396,12396,11937,2174,2174
2030-01-01T19:00,1430,2163,3621,13654,13654,13654,13654,13654,956,3843,12608,2787,2787,522,522,522,522,425,425,425,425,425,425,425,425,4999,4999,3698,3698,3698,360,4278,4278,7702,319,1904,1904,2045,11222,2205,2205,2205,2205,2205,2993,4489,12285,12285,12285,12285,12285,12285,12285,12285,11614,2289,2289
2030-01-01T20:00,1423,2146,3453,13278,13278,13278,13278,13278,992,3763,12434,2722,2722,504,504,504,504,408,408,408,408,408,408,408,408,5025,5025,3531,3531,3531,333,4261,4261,7536,306,1872,1872,2033,10583,2069,2069,2069,2069,2069,2893,4501,12078,12078,12078,12078,12078,12078,12078,12078,11347,2310,2310
2030-01-01T21:00,1375,2070,3235,12916,12916,12916,12916,12916,973,3645,12235,2577,2577,471,471,471,471,381,381,381,381,381,381,381,381,5009,5009,3284,3284,3284,290,4248,4248,7317,284,1843,1843,1994,9762,1819,1819,1819,1819,1819,2729,4349,11953,11953,11953,11953,11953,11953,11953,11953,10965,2276,2276
2030-01-01T22:00,1285,1930,2935,12019,12019,12019,12019,12019,950,3508,11962,2308,2308,454,454,454,454,337,337,337,337,337,337,337,337,4898,4898,3018,3018,3018,258,4164,4164,6954,266,1759,1759,1934,8783,1577,1577,1577,1577,1577,2494,4174,11168,11168,11168,11168,11168,11168,11168,11168,10368,2119,2119
2030-01-01T23:00,1191,1776,2723,11675,11675,11675,11675,11675,923,3328,11512,2120,2120,424,424,424,424,307,307,307,307,307,307,307,307,4745,4745,2759,2759,2759,239,3980,3980,6416,251,1651,1651,1850,8085,1440,1440,1440,1440,1440,2353,3871,10777,10777,10777,10777,10777,10777,10777,10777,9333,1848,1848
