bus_id,name,area,zone,base_voltage,bus_type
1,AESO,NA,AB,230.0,PV
2,ANHM,NA,SCE,230.0,PV
3,APS,NA,AZPS,230.0,PV
4,AVA,NA,NW,230.0,PV
5,BCHA,NA,BC,230.0,PV
6,BPA,NA,BPA,230.0,PV
7,BURB,NA,LADWP,230.0,PV
8,CFE,NA,CFE,230.0,PV
9,CHPD,NA,NW,230.0,PV
10,DOPD,NA,NW,230.0,PV
11,DWR-N,NA,PG&E,230.0,PV
12,DWR-S,NA,SCE,230.0,PV
13,EPE,NA,NM,230.0,PV
14,GCPD,NA,NW,230.0,PV
15,GLEN,NA,LADWP,230.0,PV
16,IID,NA,IID,230.0,PV
17,IPFE,NA,Idaho,230.0,PV
18,IPMV,NA,Idaho,230.0,PV
19,IPTV,NA,Idaho,230.0,PV
20,IV-NG,NA,IV-NG,230.0,PV
21,LDWP,NA,LADWP,230.0,PV
22,MID,NA,BANC,230.0,PV
23,MWD,NA,SCE,230.0,PV
24,NCPA_Bay,NA,PG&E,230.0,PV
25,NCPA_Valley,NA,PG&E,230.0,PV
26,NEVP,NA,NEVP,230.0,PV
27,NWMT,NA,MT,230.0,PV
28,PACW,NA,PACW,230.0,PV
29,PAID,NA,Idaho,230.0,PV
30,PASA,NA,SCE,230.0,PV
31,PAUT,NA,PAUT,230.0,PV
32,PAWY,NA,WY,230.0,PV
33,PG&E,NA,PG&E,230.0,PV
34,PGE,NA,NW,230.0,PV
35,PNM,NA,NM,230.0,PV
36,PSCO,NA,CO,230.0,PV
37,PSEI,NA,NW,230.0,PV
38,RDNG,NA,BANC,230.0,PV
39,RVSD,NA,SCE,230.0,PV
40,SCE,NA,SCE,230.0,PV
41,SCL,NA,NW,230.0,PV
42,SDGE,NA,SDGE,230.0,PV
43,SMUD,NA,BANC,230.0,PV
44,SPPC,NA,SPPC,230.0,PV
45,SRP,NA,SRP,230.0,PV
46,SVP,NA,PG&E,230.0,PV
47,TEPC,NA,TEPC,230.0,PV
48,TH_Mead,NA,NEVP,230.0,PV
49,TH_PV,NA,AZPS,230.0,PV
50,TID,NA,TIDC,230.0,PV
51,TPWR,NA,NW,230.0,PV
52,VEA,NA,SCE,230.0,PV
53,VERN,NA,SCE,230.0,PV
54,WACM,NA,WY,230.0,PV
55,WALC,NA,WALC,230.0,PV
56,WAPA_BANC,NA,BANC,230.0,PV
57,WAPA_Valley,NA,BANC,230.0,PV
58,WAUW,NA,MT,230.0,PV
