name,available,prime_mover_type,bus_id,fuel,base_power,fuel_price,heat_rate,vom_price,min_rated_capacity,min_down_time,min_up_time,mean_time_to_repair,forced_outage_rate,planned_outage_rate,ramp_up,ramp_down,startup_cost,category,must_run,pump_load
Greenfield Wind,True,WS,27,NA,25.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Jicarilla Apache Nation Solar Project,True,PV,35,NA,50.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Anschutz Wind 3,True,WS,32,NA,500.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Garnet Solar Power,True,PV,33,NA,4.0,NA,NA,NA,4.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Arlington Valley Solar,True,PV,49,NA,129.0,NA,NA,NA,0.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Brighton Solar,True,PV,36,NA,1.7999999523162842,NA,NA,NA,0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Mojave 16 17 18,True,WS,40,NA,83.0999984741211,NA,NA,NA,83.0999984741211,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Quichapa 1-3,True,PV,31,NA,9.0,NA,NA,NA,0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Zond Systems Inc - 6042 Wind Stream,True,WS,40,NA,6.300000190734863,NA,NA,NA,6.300000190734863,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
San Luis Solar Garden,True,PV,54,NA,1.2000000476837158,NA,NA,NA,0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
San Gorgonio Westwinds II,True,WS,40,NA,43.400001525878906,NA,NA,NA,43.400001525878906,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Spring Canyon Wind,True,WS,36,NA,60.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
SPVP San Bernardino,True,PV,40,NA,72.6500015258789,NA,NA,NA,72.6500015258789,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
High Desert Solar,True,PV,40,NA,100.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Twisselman Solar,True,PV,33,NA,8.0,NA,NA,NA,0.10000000149011612,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Willy 9,True,PV,40,NA,174.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Cedar Valley Solar,True,PV,31,NA,3.0,NA,NA,NA,0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Mojave 5 GEN,True,WS,40,NA,22.5,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Solar Star I,True,PV,40,NA,318.0,NA,NA,NA,177.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Sundancer Solar,True,PV,1,NA,1.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Silver State Solar South,True,PV,48,NA,250.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
_Agg_Solar_IV-NG,True,PV,20,NA,920.5999755859375,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Granite Mountain Solar East,True,PV,31,NA,130.39999389648438,NA,NA,NA,0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Peak View Wind,True,WS,36,NA,60.79999923706055,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Antelope Big Sky Ranch,True,PV,40,NA,20.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
_R_Tehachapi_Wind,True,WS,40,NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Blythe Solar III,True,PV,40,NA,125.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Victor Mesa Linda D2,True,PV,40,NA,1.5,NA,NA,NA,1.5,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Tequesquite Landfill Solar Project,True,PV,39,NA,7.5,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Colton Solar Two,True,PV,40,NA,1.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
COLUMBIA SOLAR,True,PV,33,NA,19.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Mountain View IV,True,WS,40,NA,49.0,NA,NA,NA,49.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Avenal Park Solar,True,PV,33,NA,6.0,NA,NA,NA,6.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Foothills Solar Plant,True,PV,3,NA,35.0,NA,NA,NA,0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Dunlap Wind,True,WS,32,NA,111.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
_PV_UT,True,PV,31,NA,0.0,NA,NA,NA,0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
DELSUR_6_CREST,False,PV,40,NA,299.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
CED Ducor 1,True,PV,40,NA,20.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
CTV Management Group Coram Energy,True,WS,40,NA,3.0,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Beryl Solar,True,PV,31,NA,3.0,NA,NA,NA,0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Kingman 1,True,PV,47,NA,0.5,NA,NA,NA,0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
_Agg_Solar_SDGE,True,PV,42,NA,196.39999389648438,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
SEPV Palmdale East,True,PV,40,NA,10.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Visalia USD El Diamante HS,True,PV,33,NA,1.0,NA,NA,NA,0.10000000149011612,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Goodnoe Hills WF PH1,True,WS,6,NA,94.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Red Horse 2 PV,True,PV,47,NA,51.0,NA,NA,NA,0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Anschutz Wind 1,True,WS,32,NA,500.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Zond Systems Inc - 6044 Wind 33 East 85 B,True,WS,40,NA,21.200000762939453,NA,NA,NA,21.200000762939453,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Rio Communities Solar,True,PV,35,NA,10.0,NA,NA,NA,0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
_R_Del_Norte_Offshore_Wind,True,WS,33,NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Fall River Mills Project A & B,True,PV,33,NA,3.0,NA,NA,NA,3.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
Sky River ESI Energy Inc - 6065,True,WS,40,NA,70.69999694824219,NA,NA,NA,70.69999694824219,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Anderson Wind,True,WS,35,NA,15.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
SG Sorrento,True,PV,16,NA,50.0,NA,NA,NA,1.0,NA,NA,2.0,2.0,NA,NA,NA,NA,NA,1,NA
