name,position,available,generator_name,bus_id,base_power,rating,input_efficiency,output_efficiency,storage_capacity,min_storage_capacity,max_storage_capacity,input_active_power_limit_min,output_active_power_limit_max,output_active_power_limit_min
_MT_4h_Battery_head,tail,True,_MT_4h_Battery,27,140.0,1,0.935,0.935,560.0,0.03,1.0,0,140.0,0
_MT_4h_Battery_tail,head,True,_MT_4h_Battery,27,140.0,1,0.935,0.935,560.0,0.03,1.0,0,140.0,0
Salt River Battery Project_head,tail,True,Salt River Battery Project,3,10.0,1,0.935,0.935,10.0,0.03,1.0,0,10.0,0
Salt River Battery Project_tail,head,True,Salt River Battery Project,3,10.0,1,0.935,0.935,10.0,0.03,1.0,0,10.0,0
Field Battery Storage_head,tail,True,Field Battery Storage,5,1.0,1,0.935,0.935,6.0,0.03,1.0,0,1.0,0
Field Battery Storage_tail,head,True,Field Battery Storage,5,1.0,1,0.935,0.935,6.0,0.03,1.0,0,1.0,0
Johanna Storage 2_head,tail,True,Johanna Storage 2,40,10.0,1,0.935,0.935,40.0,0.0,1.0,0,10.0,0
Johanna Storage 2_tail,head,True,Johanna Storage 2,40,10.0,1,0.935,0.935,40.0,0.0,1.0,0,10.0,0
Arrow Canyon_head,tail,True,Arrow Canyon,26,75.0,1,0.935,0.935,375.0,0.03,1.0,0,75.0,0
Arrow Canyon_tail,head,True,Arrow Canyon,26,75.0,1,0.935,0.935,375.0,0.03,1.0,0,75.0,0
PG&E_Storage_head,tail,True,PG&E_Storage,33,580.0,1,0.935,0.935,2320.0,0.03,1.0,0,580.0,0
PG&E_Storage_tail,head,True,PG&E_Storage,33,580.0,1,0.935,0.935,2320.0,0.03,1.0,0,580.0,0
Prosperity Energy Storage_head,tail,True,Prosperity Energy Storage,35,0.5,1,0.935,0.935,2.0,0.03,1.0,0,0.5,0
Prosperity Energy Storage_tail,head,True,Prosperity Energy Storage,35,0.5,1,0.935,0.935,2.0,0.03,1.0,0,0.5,0
Miguel BESS_head,tail,True,Miguel BESS,42,2.0,1,0.935,0.935,8.0,0.0,1.0,0,2.0,0
Miguel BESS_tail,head,True,Miguel BESS,42,2.0,1,0.935,0.935,8.0,0.0,1.0,0,2.0,0
Gateway Energy_head,tail,True,Gateway Energy,42,250.0,1,0.935,0.935,250.0,0.03,1.0,0,250.0,0
Gateway Energy_tail,head,True,Gateway Energy,42,250.0,1,0.935,0.935,250.0,0.03,1.0,0,250.0,0
Fresno EGT_head,tail,True,Fresno EGT,33,50.599998474121094,1,0.935,0.935,202.39999389648438,0.0,1.0,0,50.599998474121094,0
Fresno EGT_tail,head,True,Fresno EGT,33,50.599998474121094,1,0.935,0.935,202.39999389648438,0.0,1.0,0,50.599998474121094,0
Escondido_head,tail,True,Escondido,42,30.0,1,0.935,0.935,120.0,0.03,1.0,0,30.0,0
Escondido_tail,head,True,Escondido,42,30.0,1,0.935,0.935,120.0,0.03,1.0,0,30.0,0
Desert Harvest Solar Project - Battery_head,tail,True,Desert Harvest Solar Project - Battery,40,35.0,1,0.935,0.935,140.0,0.03,1.0,0,35.0,0
Desert Harvest Solar Project - Battery_tail,head,True,Desert Harvest Solar Project - Battery,40,35.0,1,0.935,0.935,140.0,0.03,1.0,0,35.0,0
Demoss Petrie_head,tail,True,Demoss Petrie,47,10.0,1,0.935,0.935,10.0,0.03,1.0,0,10.0,0
Demoss Petrie_tail,head,True,Demoss Petrie,47,10.0,1,0.935,0.935,10.0,0.03,1.0,0,10.0,0
Alamitos Energy Center_head,tail,True,Alamitos Energy Center,40,100.0,1,0.935,0.935,100.0,0.03,1.0,0,100.0,0
Alamitos Energy Center_tail,head,True,Alamitos Energy Center,40,100.0,1,0.935,0.935,100.0,0.03,1.0,0,100.0,0
Dagget Solar Power 2_head,tail,True,Dagget Solar Power 2,33,46.0,1,0.935,0.935,184.0,0.03,1.0,0,46.0,0
Dagget Solar Power 2_tail,head,True,Dagget Solar Power 2,33,46.0,1,0.935,0.935,184.0,0.03,1.0,0,46.0,0
Dallas Energy Storage 2_head,tail,True,Dallas Energy Storage 2,33,100.0,1,0.935,0.935,400.0,0.0,1.0,0,100.0,0
Dallas Energy Storage 2_tail,head,True,Dallas Energy Storage 2,33,100.0,1,0.935,0.935,400.0,0.0,1.0,0,100.0,0
Acorn I BESS_head,tail,True,Acorn I BESS,40,1.9500000476837158,1,0.935,0.935,7.800000190734863,0.0,1.0,0,1.9500000476837158,0
Acorn I BESS_tail,head,True,Acorn I BESS,40,1.9500000476837158,1,0.935,0.935,7.800000190734863,0.0,1.0,0,1.9500000476837158,0
AggregatedBat-PSCO_head,tail,True,AggregatedBat-PSCO,36,9.25,1,0.935,0.935,9.25,0.03,1.0,0,9.25,0
AggregatedBat-PSCO_tail,head,True,AggregatedBat-PSCO,36,9.25,1,0.935,0.935,9.25,0.03,1.0,0,9.25,0
Edwards Sanborn BESS I_head,tail,True,Edwards Sanborn BESS I,40,169.0,1,0.935,0.935,676.0,0.0,1.0,0,169.0,0
Edwards Sanborn BESS I_tail,head,True,Edwards Sanborn BESS I,40,169.0,1,0.935,0.935,676.0,0.0,1.0,0,169.0,0
Panasonic Carport Solar - Battery_head,tail,True,Panasonic Carport Solar - Battery,36,1.0,1,0.935,0.935,2.200000047683716,0.03,1.0,0,1.0,0
Panasonic Carport Solar - Battery_tail,head,True,Panasonic Carport Solar - Battery,36,1.0,1,0.935,0.935,2.200000047683716,0.03,1.0,0,1.0,0
LeConte Energy Storage_orig_head,tail,True,LeConte Energy Storage_orig,42,125.0,1,0.935,0.935,500.0,0.03,1.0,0,125.0,0
